tz16_code,tz16_name,sa2_name16,sa2_main16,sa2_5dig16,sa3_name16,sa3_code16,sa4_name16,sa4_code16,lga_name16,lga_code16,gcc_name16,gcc_code16,gsc_distri,mb_cat16,albers_ha,Metro Stage,GIC_AreaName,GIC_Precinct_190919,PIFGA_Precinct,SGS_CoDBC_UrbanType190924,SGS_CoDBC_Precincts190924,SGS_CoDBC_SubPrecinct190924,ERP_2016,ERP_2021,ERP_2026,ERP_2031,ERP_2036,ERP_2041,ERP_2046,ERP_2051,ERP_2056,EMP_2016,EMP_2021,EMP_2026,EMP_2031,EMP_2036,EMP_2041,EMP_2046,EMP_2051,EMP_2056
536,Double Bay Plaza,Double Bay - Bellevue Hill,118011343,11343,Eastern Suburbs - North,11801,Sydney - Eastern Suburbs,118,Woollahra (A),18500,Greater Sydney,1GSYD,Central,Commercial,10.20756417,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,489,531,582,659,716,995,"1,085","1,181","1,231","2,073","2,183","2,233","2,326","2,428","2,575","2,650","2,711","2,777"
537,Ascham Girls School_East,Double Bay - Bellevue Hill,118011343,11343,Eastern Suburbs - North,11801,Sydney - Eastern Suburbs,118,Woollahra (A),18500,Greater Sydney,1GSYD,Central,Residential,10.6893881,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"1,095","1,099","1,101","1,105","1,109","1,158","1,180","1,205","1,226",909,984,"1,018","1,072","1,128","1,211","1,246","1,275","1,304"
538,Bellevue Hill,Double Bay - Bellevue Hill,118011343,11343,Eastern Suburbs - North,11801,Sydney - Eastern Suburbs,118,Woollahra (A),18500,Greater Sydney,1GSYD,Central,Residential,46.70660257,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"1,761","1,772","1,788","1,819","1,844","1,967","2,007","2,045","2,090",370,397,411,433,455,489,503,514,526
539,Edgecliff Station,Double Bay - Bellevue Hill,118011343,11343,Eastern Suburbs - North,11801,Sydney - Eastern Suburbs,118,Woollahra (A),18500,Greater Sydney,1GSYD,Central,Residential,15.88327674,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"1,569","1,570","1,571","1,576","1,580","1,599","1,605","1,610","1,635","1,632","1,720","1,785","1,872","1,971","2,108","2,184","2,246","2,314"
540,Bellevue Hill_Drumalbyn Rd and Beresford Rd,Double Bay - Bellevue Hill,118011343,11343,Eastern Suburbs - North,11801,Sydney - Eastern Suburbs,118,Woollahra (A),18500,Greater Sydney,1GSYD,Central,Residential,50.06896638,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"2,094","2,102","2,117","2,147","2,171","2,288","2,325","2,363","2,410",263,278,288,301,316,338,349,357,365
541,Edgecliff_Manning Rd and Court Rd,Double Bay - Bellevue Hill,118011343,11343,Eastern Suburbs - North,11801,Sydney - Eastern Suburbs,118,Woollahra (A),18500,Greater Sydney,1GSYD,Central,Residential,18.40906198,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"1,379","1,394","1,401","1,413","1,425","1,591","1,666","1,753","1,787","1,421","1,483","1,523","1,588","1,659","1,760","1,807","1,843","1,885"
542,Bellevue Hill_Carlotta Rd,Double Bay - Bellevue Hill,118011343,11343,Eastern Suburbs - North,11801,Sydney - Eastern Suburbs,118,Woollahra (A),18500,Greater Sydney,1GSYD,Central,Residential,30.3694454,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"1,443","1,452","1,461","1,476","1,491","1,754","1,874","2,014","2,057",191,202,208,217,228,245,253,259,266
543,Bellevue Hill South,Double Bay - Bellevue Hill,118011343,11343,Eastern Suburbs - North,11801,Sydney - Eastern Suburbs,118,Woollahra (A),18500,Greater Sydney,1GSYD,Central,Residential,24.89785627,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"1,137","1,142","1,151","1,169","1,184","1,288","1,328","1,375","1,401",227,235,242,253,265,284,293,300,307
544,Bellevue Hill_Suttie Rd and Ranfurley Rd,Double Bay - Bellevue Hill,118011343,11343,Eastern Suburbs - North,11801,Sydney - Eastern Suburbs,118,Woollahra (A),18500,Greater Sydney,1GSYD,Central,Residential,35.24685558,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"1,312","1,330","1,333","1,338","1,342","1,415","1,448","1,487","1,514",164,173,180,189,199,214,221,227,233
545,Bellevue Park,Double Bay - Bellevue Hill,118011343,11343,Eastern Suburbs - North,11801,Sydney - Eastern Suburbs,118,Woollahra (A),18500,Greater Sydney,1GSYD,Central,Residential,42.16636752,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"3,909","3,943","3,952","3,969","3,986","4,262","4,389","4,537","4,618",421,451,468,490,515,551,567,580,595
548,Diamond Bay,Dover Heights,118011344,11344,Eastern Suburbs - North,11801,Sydney - Eastern Suburbs,118,Waverley (A),18050,Greater Sydney,1GSYD,Central,Residential,40.6813548,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"3,075","3,157","3,192","3,233","3,284","3,405","3,556","3,740","3,926",343,361,374,394,421,451,478,502,527
549,Dover Heights_Portland St and Lancaster Rd,Dover Heights,118011344,11344,Eastern Suburbs - North,11801,Sydney - Eastern Suburbs,118,Waverley (A),18050,Greater Sydney,1GSYD,Central,Residential,57.30093505,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"3,267","3,329","3,354","3,386","3,446","3,631","3,804","4,000","4,199",414,441,456,482,513,547,577,602,629
550,Dover Heights High School,Dover Heights,118011344,11344,Eastern Suburbs - North,11801,Sydney - Eastern Suburbs,118,Waverley (A),18050,Greater Sydney,1GSYD,Central,Residential,36.25692151,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"3,383","3,404","3,434","3,465","3,494","3,583","3,667","3,852","4,039",635,685,710,752,805,860,910,955,"1,000"
551,Dover Heights,Dover Heights,118011344,11344,Eastern Suburbs - North,11801,Sydney - Eastern Suburbs,118,Waverley (A),18050,Greater Sydney,1GSYD,Central,Residential,52.78087975,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"1,797","1,824","1,828","1,847","1,918","2,121","2,291","2,412","2,535",377,413,426,454,487,522,554,582,610
554,White City,Paddington - Moore Park,118011345,11345,Eastern Suburbs - North,11801,Sydney - Eastern Suburbs,118,Woollahra (A),18500,Greater Sydney,1GSYD,Central,Parkland,11.11759234,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,163,163,164,166,167,175,177,179,183,142,154,159,167,176,190,194,198,202
555,The Scottish Hospital,Paddington - Moore Park,118011345,11345,Eastern Suburbs - North,11801,Sydney - Eastern Suburbs,118,Woollahra (A),18500,Greater Sydney,1GSYD,Central,Residential,17.05608298,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"1,883","1,918","1,969","2,046","2,102","2,376","2,466","2,541","2,627",499,528,548,576,607,653,674,693,713
556,Paddington,Paddington - Moore Park,118011345,11345,Eastern Suburbs - North,11801,Sydney - Eastern Suburbs,118,Woollahra (A),18500,Greater Sydney,1GSYD,Central,Residential,14.85552732,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"1,636","1,637","1,638","1,642","1,646","1,663","1,669","1,672","1,699",855,897,926,965,"1,010","1,073","1,103","1,129","1,157"
557,Five Ways Paddington,Paddington - Moore Park,118011345,11345,Eastern Suburbs - North,11801,Sydney - Eastern Suburbs,118,Woollahra (A),18500,Greater Sydney,1GSYD,Central,Residential,25.25799959,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"2,699","2,702","2,708","2,721","2,733","2,790","2,808","2,820","2,870","1,076","1,136","1,165","1,209","1,260","1,338","1,373","1,405","1,437"
558,Paddington_Elizabeth St and Hargrave St,Paddington - Moore Park,118011345,11345,Eastern Suburbs - North,11801,Sydney - Eastern Suburbs,118,Woollahra (A),18500,Greater Sydney,1GSYD,Central,Residential,31.57586255,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"2,630","2,631","2,641","2,662","2,679","2,764","2,792","2,813","2,867",623,664,685,718,754,805,829,847,869
559,Paddington_University of NSW,Paddington - Moore Park,118011345,11345,Eastern Suburbs - North,11801,Sydney - Eastern Suburbs,118,Sydney (C),17200,Greater Sydney,1GSYD,Central,Residential,9.867808534,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"1,201","1,208","1,212","1,234","1,250","1,288","1,322","1,351","1,416",687,765,797,856,912,975,"1,033","1,084","1,134"
560,Victoria Barracks,Paddington - Moore Park,118011345,11345,Eastern Suburbs - North,11801,Sydney - Eastern Suburbs,118,Sydney (C),17200,Greater Sydney,1GSYD,Central,Commercial,15.87245197,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,158,159,160,165,168,176,183,189,199,531,644,685,736,788,839,880,914,949
561,Paddington_Elizabeth St and Paddington St,Paddington - Moore Park,118011345,11345,Eastern Suburbs - North,11801,Sydney - Eastern Suburbs,118,Woollahra (A),18500,Greater Sydney,1GSYD,Central,Residential,14.77475984,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"1,548","1,551","1,553","1,558","1,562","1,584","1,591","1,596","1,622",934,"1,001","1,031","1,075","1,126","1,194","1,229","1,262","1,293"
562,Regent St and Stewart St,Paddington - Moore Park,118011345,11345,Eastern Suburbs - North,11801,Sydney - Eastern Suburbs,118,Sydney (C),17200,Greater Sydney,1GSYD,Central,Residential,12.7816085,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"1,552","1,561","1,565","1,587","1,604","1,638","1,668","1,689","1,768",340,374,390,419,447,477,510,541,565
563,Paddington Markets,Paddington - Moore Park,118011345,11345,Eastern Suburbs - North,11801,Sydney - Eastern Suburbs,118,Sydney (C),17200,Greater Sydney,1GSYD,Central,Residential,7.345609103,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,221,239,240,244,247,254,260,264,279,606,664,686,724,759,799,840,877,912
564,Cooks Rd and Mitchell St,Paddington - Moore Park,118011345,11345,Eastern Suburbs - North,11801,Sydney - Eastern Suburbs,118,Sydney (C),17200,Greater Sydney,1GSYD,Central,Residential,25.08976251,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"2,563","2,594","2,601","2,646","2,682","2,756","2,821","2,869","3,013",245,260,270,289,309,332,353,373,393
565,Sydney Cricket Ground,Paddington - Moore Park,118011345,11345,Eastern Suburbs - North,11801,Sydney - Eastern Suburbs,118,Sydney (C),17200,Greater Sydney,1GSYD,Central,Commercial,85.71741069,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,0,21,36,95,135,213,280,335,383,"3,392","3,662","3,820","4,094","4,361","4,641","4,916","5,164","5,409"
566,Moore Park Golf Course,Paddington - Moore Park,118011345,11345,Eastern Suburbs - North,11801,Sydney - Eastern Suburbs,118,Sydney (C),17200,Greater Sydney,1GSYD,Central,Parkland,73.15094297,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,0,0,0,0,0,0,0,0,0,646,680,692,742,790,844,895,942,988
567,Moore Park Supacenta,Paddington - Moore Park,118011345,11345,Eastern Suburbs - North,11801,Sydney - Eastern Suburbs,118,Sydney (C),17200,Greater Sydney,1GSYD,Central,Parkland,27.98749631,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,27,27,28,28,29,29,29,29,30,408,429,437,469,499,533,565,594,624
570,Watsons Bay Ferry Wharf,Rose Bay - Vaucluse - Watsons Bay,118011346,11346,Eastern Suburbs - North,11801,Sydney - Eastern Suburbs,118,Woollahra (A),18500,Greater Sydney,1GSYD,Central,Parkland,60.75253312,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,905,906,909,915,920,950,960,969,987,926,"1,089","1,149","1,219","1,293","1,373","1,423","1,460","1,505"
571,Parsley Bay,Rose Bay - Vaucluse - Watsons Bay,118011346,11346,Eastern Suburbs - North,11801,Sydney - Eastern Suburbs,118,Woollahra (A),18500,Greater Sydney,1GSYD,Central,Residential,62.27434253,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"1,866","1,873","1,883","1,901","1,916","1,995","2,024","2,048","2,090",836,883,912,955,"1,003","1,074","1,106","1,130","1,158"
572,Nielsen Park,Rose Bay - Vaucluse - Watsons Bay,118011346,11346,Eastern Suburbs - North,11801,Sydney - Eastern Suburbs,118,Woollahra (A),18500,Greater Sydney,1GSYD,Central,Residential,110.6089599,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"1,687","1,696","1,717","1,754","1,783","1,929","1,976","2,021","2,070",578,626,643,676,709,763,781,796,812
573,Rose Bay Towns Rd,Rose Bay - Vaucluse - Watsons Bay,118011346,11346,Eastern Suburbs - North,11801,Sydney - Eastern Suburbs,118,Woollahra (A),18500,Greater Sydney,1GSYD,Central,Residential,52.01293069,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"2,099","2,111","2,124","2,152","2,176","2,295","2,335","2,368","2,421",675,722,741,776,813,871,892,909,926
574,Rose Bay Ferry Wharf,Rose Bay - Vaucluse - Watsons Bay,118011346,11346,Eastern Suburbs - North,11801,Sydney - Eastern Suburbs,118,Woollahra (A),18500,Greater Sydney,1GSYD,Central,Parkland,150.0447361,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"3,538","3,558","3,589","3,638","3,680","4,263","4,521","4,825","4,926","1,849","1,939","1,981","2,068","2,166","2,317","2,372","2,416","2,464"
575,Vaucluse_Lighthouse Reserve Dunbar_Head,Rose Bay - Vaucluse - Watsons Bay,118011346,11346,Eastern Suburbs - North,11801,Sydney - Eastern Suburbs,118,Woollahra (A),18500,Greater Sydney,1GSYD,Central,Residential,77.87410785,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"2,475","2,484","2,498","2,521","2,541","2,645","2,684","2,716","2,771",24,25,26,27,29,31,32,32,33
577,Wolper Jewish Hospital,Woollahra,118011347,11347,Eastern Suburbs - North,11801,Sydney - Eastern Suburbs,118,Woollahra (A),18500,Greater Sydney,1GSYD,Central,Residential,40.28671465,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"2,659","2,665","2,677","2,698","2,716","2,808","2,840","2,876","2,924",434,457,479,504,532,574,593,608,624
578,Woollahra Galleries,Woollahra,118011347,11347,Eastern Suburbs - North,11801,Sydney - Eastern Suburbs,118,Woollahra (A),18500,Greater Sydney,1GSYD,Central,Residential,44.74243096,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"3,100","3,105","3,113","3,131","3,146","3,223","3,248","3,268","3,327","1,822","1,917","1,969","2,051","2,145","2,285","2,344","2,390","2,442"
579,Woollahra,Woollahra,118011347,11347,Eastern Suburbs - North,11801,Sydney - Eastern Suburbs,118,Woollahra (A),18500,Greater Sydney,1GSYD,Central,Residential,25.87735713,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"1,500","1,501","1,503","1,507","1,510","1,535","1,545","1,557","1,581",727,754,785,823,865,930,959,982,"1,009"
580,Cooper Park,Woollahra,118011347,11347,Eastern Suburbs - North,11801,Sydney - Eastern Suburbs,118,Woollahra (A),18500,Greater Sydney,1GSYD,Central,Residential,17.13634019,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,798,799,800,804,807,822,827,831,845,344,372,383,403,423,455,466,475,484
600,Clovelly_Knox St and Greville St,Coogee - Clovelly,118021348,11348,Eastern Suburbs - South,11802,Sydney - Eastern Suburbs,118,Randwick (C),16550,Greater Sydney,1GSYD,Central,Residential,21.16000095,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"1,451","1,455","1,457","1,501","1,526","1,557","1,585","1,666","1,759",296,321,353,371,391,418,448,475,504
601,Clovelly_Clifton Rd and Burnie St,Coogee - Clovelly,118021348,11348,Eastern Suburbs - South,11802,Sydney - Eastern Suburbs,118,Randwick (C),16550,Greater Sydney,1GSYD,Central,Residential,54.11801003,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"3,354","3,368","3,402","3,467","3,542","3,622","3,712","3,835","4,048",447,483,528,554,583,622,664,703,743
602,Coogee,Coogee - Clovelly,118021348,11348,Eastern Suburbs - South,11802,Sydney - Eastern Suburbs,118,Randwick (C),16550,Greater Sydney,1GSYD,Central,Residential,46.35862957,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"3,375","3,422","3,499","3,555","3,661","3,792","3,961","4,101","4,329",439,471,511,537,565,601,638,671,708
603,Coogee Palace Shopping Centre,Coogee - Clovelly,118021348,11348,Eastern Suburbs - South,11802,Sydney - Eastern Suburbs,118,Randwick (C),16550,Greater Sydney,1GSYD,Central,Residential,43.01426182,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"3,317","3,519","3,669","3,709","3,800","3,926","4,088","4,234","4,466",493,541,583,606,632,669,710,747,785
604,Coogee Beach,Coogee - Clovelly,118021348,11348,Eastern Suburbs - South,11802,Sydney - Eastern Suburbs,118,Randwick (C),16550,Greater Sydney,1GSYD,Central,Residential,41.94985977,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"4,238","4,404","4,598","4,680","4,818","5,001","5,230","5,435","5,737","1,415","1,550","1,668","1,731","1,802","1,908","2,028","2,139","2,252"
605,Coogee_Mount St and Dudley St,Coogee - Clovelly,118021348,11348,Eastern Suburbs - South,11802,Sydney - Eastern Suburbs,118,Randwick (C),16550,Greater Sydney,1GSYD,Central,Residential,30.79925842,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"2,792","2,827","2,881","2,900","2,967","3,061","3,182","3,291","3,473",237,258,282,296,312,333,355,376,397
606,Coogee_Wylies Baths,Coogee - Clovelly,118021348,11348,Eastern Suburbs - South,11802,Sydney - Eastern Suburbs,118,Randwick (C),16550,Greater Sydney,1GSYD,Central,Residential,33.04324828,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"2,858","2,903","2,959","2,983","3,043","3,119","3,215","3,328","3,510",474,523,569,596,625,665,709,749,791
607,South Coogee,Coogee - Clovelly,118021348,11348,Eastern Suburbs - South,11802,Sydney - Eastern Suburbs,118,Randwick (C),16550,Greater Sydney,1GSYD,Central,Residential,32.23130522,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"1,717","1,744","1,771","1,826","1,865","1,915","1,963","2,077","2,193",199,207,232,245,260,279,301,322,344
608,South Coogee Primary School,Coogee - Clovelly,118021348,11348,Eastern Suburbs - South,11802,Sydney - Eastern Suburbs,118,Randwick (C),16550,Greater Sydney,1GSYD,Central,Residential,80.98550409,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"4,194","4,420","4,978","5,106","5,368","5,648","5,953","6,169","6,515",430,466,510,537,567,605,647,687,728
609,Kingsford_Town Centre,Kingsford,118021565,11565,Eastern Suburbs - South,11802,Sydney - Eastern Suburbs,118,Randwick (C),16550,Greater Sydney,1GSYD,Central,Residential,19.79512334,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"2,926","3,090","3,394","3,512","3,709","3,918","4,173","4,330","4,576",692,769,822,860,898,948,"1,003","1,055","1,107"
610,Kensington_Tresidder Ave,Kingsford,118021565,11565,Eastern Suburbs - South,11802,Sydney - Eastern Suburbs,118,Randwick (C),16550,Greater Sydney,1GSYD,Central,Residential,27.47354165,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"1,266","1,282","1,304","1,379","1,426","1,481","1,539","1,637","1,731",37,38,41,43,45,48,51,54,57
611,Kokoda Memorial Park,Kensington (NSW),118021564,11564,Eastern Suburbs - South,11802,Sydney - Eastern Suburbs,118,Randwick (C),16550,Greater Sydney,1GSYD,Central,Residential,29.52479322,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"3,479","3,724","4,010","4,213","4,456","4,742","5,040","5,393","5,705",449,466,514,534,560,602,650,696,743
612,Kensington_Todman Av and Baker St,Kensington (NSW),118021564,11564,Eastern Suburbs - South,11802,Sydney - Eastern Suburbs,118,Randwick (C),16550,Greater Sydney,1GSYD,Central,Residential,51.79821177,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"3,219","3,382","3,793","3,843","3,915","4,013","4,106","4,335","4,569",313,318,345,361,383,411,443,471,503
613,Kensington Public School,Kensington (NSW),118021564,11564,Eastern Suburbs - South,11802,Sydney - Eastern Suburbs,118,Randwick (C),16550,Greater Sydney,1GSYD,Central,Residential,22.61222949,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"2,832","3,016","3,347","3,469","3,638","3,813","3,993","4,168","4,403",607,663,715,739,773,822,880,934,990
614,Kensington,Kensington (NSW),118021564,11564,Eastern Suburbs - South,11802,Sydney - Eastern Suburbs,118,Randwick (C),16550,Greater Sydney,1GSYD,Central,Residential,39.26946046,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"1,887","1,953","2,064","2,116","2,194","2,285","2,381","2,481","2,620",409,453,486,510,541,578,619,659,699
615,University of NSW,Kensington (NSW),118021564,11564,Eastern Suburbs - South,11802,Sydney - Eastern Suburbs,118,Randwick (C),16550,Greater Sydney,1GSYD,Central,Education,42.13260398,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"3,345","3,456","3,602","3,728","3,867","4,044","4,249","4,479","4,733","7,563","8,836","9,423","9,978","10,605","11,361","12,197","13,012","13,800"
616,Australian Golf Course,Kensington (NSW),118021564,11564,Eastern Suburbs - South,11802,Sydney - Eastern Suburbs,118,Randwick (C),16550,Greater Sydney,1GSYD,Central,Parkland,63.85681694,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,0,0,0,0,0,0,0,0,0,362,373,403,422,448,481,516,549,585
617,Kensington Park,Kensington (NSW),118021564,11564,Eastern Suburbs - South,11802,Sydney - Eastern Suburbs,118,Randwick (C),16550,Greater Sydney,1GSYD,Central,Residential,15.03706552,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,949,996,"1,079","1,116","1,173","1,236","1,312","1,367","1,444",467,521,557,583,616,658,704,747,791
618,Kingsford_Castellorizian Club,Kingsford,118021565,11565,Eastern Suburbs - South,11802,Sydney - Eastern Suburbs,118,Randwick (C),16550,Greater Sydney,1GSYD,Central,Residential,16.3621779,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"2,739","2,872","3,269","3,422","3,676","3,940","4,240","4,405","4,659",679,736,792,823,855,902,957,"1,008","1,060"
619,Kingsford_Kennedy St and Middle St,Kingsford,118021565,11565,Eastern Suburbs - South,11802,Sydney - Eastern Suburbs,118,Randwick (C),16550,Greater Sydney,1GSYD,Central,Residential,26.68564662,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"3,341","3,363","3,420","3,472","3,561","3,666","3,802","3,933","4,151",155,167,181,188,197,209,223,235,248
620,Kingsford_Botany St and Sturt St,Kingsford,118021565,11565,Eastern Suburbs - South,11802,Sydney - Eastern Suburbs,118,Randwick (C),16550,Greater Sydney,1GSYD,Central,Residential,35.47970062,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"2,091","2,137","2,257","2,318","2,378","2,445","2,509","2,618","2,764",496,546,590,611,634,669,711,748,786
621,Kingsford,Kingsford,118021565,11565,Eastern Suburbs - South,11802,Sydney - Eastern Suburbs,118,Randwick (C),16550,Greater Sydney,1GSYD,Central,Residential,52.87946642,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"2,940","2,998","3,136","3,207","3,288","3,380","3,467","3,582","3,781",288,306,335,348,363,386,413,438,465
622,Kingsford_Borrowdale Rd,Kingsford,118021565,11565,Eastern Suburbs - South,11802,Sydney - Eastern Suburbs,118,Randwick (C),16550,Greater Sydney,1GSYD,Central,Residential,22.71148361,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"1,124","1,187","1,304","1,349","1,425","1,505","1,603","1,663","1,758",19,21,23,24,25,26,28,29,30
624,Matraville_Eastern Rd and Beauchamp Rd,Malabar - La Perouse - Chifley,118021350,11350,Eastern Suburbs - South,11802,Sydney - Eastern Suburbs,118,Randwick (C),16550,Greater Sydney,1GSYD,Central,Residential,52.61834759,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"2,823","2,892","3,068","3,179","3,324","3,539","3,827","3,905","4,086",212,228,248,259,272,290,309,327,346
625,Matraville,Malabar - La Perouse - Chifley,118021350,11350,Eastern Suburbs - South,11802,Sydney - Eastern Suburbs,118,Randwick (C),16550,Greater Sydney,1GSYD,Central,Residential,40.5782923,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"1,771","1,901","2,041","2,399","2,617","2,857","3,109","3,460","3,634","1,550","1,603","1,693","1,701","1,752","1,842","1,949","2,050","2,157"
626,Anzac Rifle Range,Malabar - La Perouse - Chifley,118021350,11350,Eastern Suburbs - South,11802,Sydney - Eastern Suburbs,118,Randwick (C),16550,Greater Sydney,1GSYD,Central,Parkland,242.9452893,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"1,757","1,781","1,805","1,945","1,975","1,995","2,007","2,097","2,175",486,516,559,587,618,656,698,738,780
627,Matraville_Menin Av and Flinders St,Malabar - La Perouse - Chifley,118021350,11350,Eastern Suburbs - South,11802,Sydney - Eastern Suburbs,118,Randwick (C),16550,Greater Sydney,1GSYD,Central,Residential,68.83385555,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"2,625","2,645","2,675","2,851","2,901","2,946","2,981","3,128","3,264",655,720,776,819,866,919,968,"1,010","1,057"
628,Port Botany Business Park_East,Malabar - La Perouse - Chifley,118021350,11350,Eastern Suburbs - South,11802,Sydney - Eastern Suburbs,118,Randwick (C),16550,Greater Sydney,1GSYD,Central,Residential,45.4742483,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"2,197","2,231","2,270","2,453","2,506","2,555","2,596","2,743","2,859",251,259,280,291,306,325,345,364,384
629,Matraville High School,Malabar - La Perouse - Chifley,118021350,11350,Eastern Suburbs - South,11802,Sydney - Eastern Suburbs,118,Randwick (C),16550,Greater Sydney,1GSYD,Central,Residential,133.9278336,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"4,171","4,198","4,230","4,448","4,530","4,613","4,682","4,894","5,129",459,489,533,560,590,630,675,718,763
