Locality,LGA,Split_id,ERP_2016,ERP_2056,EMP_2016,EMP_2056
CANLEY HEIGHTS,Fairfield (C),914,11874.0,16793.0,1186.0,1211.0
CANLEY VALE,Fairfield (C),338,9585.0,12831.0,1557.0,1729.0
CANOELANDS,Hornsby (A),1218,113.0,143.0,138.0,202.0
CANTERBURY,Canterbury-Bankstown (A),571,9864.0,32993.0,1700.0,2609.0
CARINGBAH,Sutherland Shire (A),766,12209.0,19789.0,13779.0,19644.0
CARINGBAH SOUTH,Sutherland Shire (A),1330,12495.0,17682.0,1093.0,1627.0
CARLINGFORD,Parramatta (C),449,26402.0,46377.0,5239.0,8797.0
CARLTON,Georges River (A),958,5716.0,7976.0,1611.0,2284.0
CARLTON,Rockdale (C),959,3228.0,4168.0,267.0,426.0
CARNES HILL,Liverpool (C),307,3757.0,14582.0,1059.0,2336.0
CARRAMAR,Fairfield (C),1317,3673.0,6057.0,802.0,1772.0
CARSS PARK,Georges River (A),395,1595.0,2286.0,339.0,536.0
CARTWRIGHT,Liverpool (C),1050,2434.0,9032.0,168.0,335.0
CASTLE COVE,Willoughby (C),1140,2689.0,3307.0,504.0,702.0
CASTLE HILL,Hornsby (A),534,5764.0,7253.0,1673.0,3216.0
CASTLE HILL,The Hills Shire (A),535,35527.0,72125.0,20440.0,40853.0
CASTLECRAG,Willoughby (C),667,2835.0,3319.0,734.0,923.0
CASTLEREAGH,Penrith (C),692,3444.0,8268.0,1079.0,1407.0
CASULA,Liverpool (C),1157,16254.0,29943.0,3541.0,5292.0
CATHERINE FIELD,Camden (A),1178,1704.0,7659.0,550.0,1243.0
CAWDOR,Wollondilly (A),266,303.0,377.0,128.0,219.0
CECIL HILLS,Liverpool (C),900,7271.0,7248.0,985.0,2539.0
CECIL PARK,Fairfield (C),686,817.0,3813.0,310.0,525.0
CECIL PARK,Liverpool (C),687,342.0,5147.0,224.0,2545.0
CENTENNIAL PARK,Randwick (C),83,3.0,3.0,124.0,195.0
CHATSWOOD,Willoughby (C),614,24238.0,38131.0,32192.0,44018.0
CHATSWOOD WEST,Willoughby (C),343,1878.0,2584.0,209.0,266.0
CHELTENHAM,Hornsby (A),334,2328.0,2650.0,359.0,654.0
CHERRYBROOK,Hornsby (A),1256,19449.0,32012.0,2773.0,5147.0
CHESTER HILL,Canterbury-Bankstown (A),719,13042.0,22269.0,2760.0,4703.0
CHESTER HILL,Cumberland (A),720,767.0,1410.0,2026.0,2399.0
CHIFLEY,Randwick (C),95,4171.0,5129.0,459.0,763.0
CHIPPENDALE,Sydney (C),1012,9106.0,14644.0,4616.0,12065.0
CHIPPING NORTON,Liverpool (C),470,9332.0,14182.0,7233.0,8756.0
CHISWICK,Canada Bay (A),942,2528.0,3880.0,244.0,404.0
CHULLORA,Canterbury-Bankstown (A),1204,0.0,0.0,6940.0,7823.0
CHURCH POINT,Northern Beaches (A),158,1733.0,3566.0,361.0,537.0
CLAREMONT MEADOWS,Penrith (C),293,4889.0,6845.0,437.0,884.0
CLAREVILLE,Northern Beaches (A),813,1416.0,1935.0,243.0,394.0
CLAYMORE,Campbelltown (C) (NSW),695,2834.0,3163.0,159.0,212.0
CLEMTON PARK,Canterbury-Bankstown (A),65,1917.0,6202.0,814.0,1288.0
CLONTARF,Northern Beaches (A),590,2784.0,3609.0,540.0,630.0
CLOVELLY,Randwick (C),96,4805.0,5807.0,743.0,1247.0
CLYDE,Parramatta (C),1270,6.0,2057.0,1609.0,2297.0
COBBITTY,Camden (A),271,2103.0,18199.0,782.0,2916.0
COLEBEE,Blacktown (C),703,1994.0,8278.0,43.0,1284.0
COLLAROY,Northern Beaches (A),921,10481.0,11895.0,2119.0,3140.0
COLLAROY PLATEAU,Northern Beaches (A),998,6433.0,7897.0,902.0,1355.0
COLYTON,Penrith (C),709,8671.0,16074.0,947.0,1902.0
COMO,Sutherland Shire (A),890,4073.0,5314.0,445.0,699.0
CONCORD,Canada Bay (A),2,15207.0,22062.0,3531.0,6966.0
CONCORD WEST,Canada Bay (A),90,7426.0,11777.0,7092.0,13387.0
CONDELL PARK,Canterbury-Bankstown (A),1288,11834.0,16937.0,5679.0,7249.0
CONNELLS POINT,Georges River (A),355,2940.0,3030.0,303.0,494.0
CONSTITUTION HILL,Parramatta (C),1106,4005.0,4960.0,255.0,415.0
COOGEE,Randwick (C),356,16580.0,21515.0,3058.0,4933.0
COWAN,Hornsby (A),438,691.0,931.0,216.0,320.0
CRANEBROOK,Penrith (C),704,13932.0,19683.0,1192.0,1612.0
CREMORNE,North Sydney (A),756,12489.0,19289.0,2406.0,3771.0
CREMORNE POINT,North Sydney (A),752,2012.0,2511.0,201.0,306.0
CROMER,Northern Beaches (A),800,7790.0,11416.0,3642.0,4636.0
CRONULLA,Sutherland Shire (A),707,18933.0,25105.0,5274.0,8040.0
CROWS NEST,North Sydney (A),185,3627.0,7688.0,6061.0,9106.0
CROYDON,Burwood (A),147,8091.0,12663.0,2466.0,4316.0
CROYDON,Inner West (A),149,2940.0,4239.0,713.0,1196.0
CROYDON PARK,Burwood (A),21,6001.0,10323.0,604.0,1029.0
CROYDON PARK,Canterbury-Bankstown (A),22,4660.0,7285.0,549.0,832.0
CROYDON PARK,Inner West (A),23,1927.0,2370.0,339.0,574.0
CURL CURL,Northern Beaches (A),178,5785.0,6203.0,1063.0,1681.0
CURRANS HILL,Camden (A),1220,5423.0,6210.0,466.0,846.0
DACEYVILLE,Botany Bay (C),930,1261.0,1422.0,411.0,935.0
DANGAR ISLAND,Hornsby (A),181,304.0,353.0,39.0,51.0
DARLING POINT,Woollahra (A),36,5039.0,5573.0,1005.0,1394.0
DARLINGHURST,Sydney (C),1047,12242.0,15906.0,14530.0,22336.0
DARLINGTON,Sydney (C),1066,3672.0,4000.0,2165.0,3541.0
DAVIDSON,Northern Beaches (A),73,3884.0,4119.0,645.0,1020.0
DAWES POINT,Sydney (C),1059,495.0,588.0,2441.0,3633.0
DEAN PARK,Blacktown (C),489,3338.0,3665.0,357.0,558.0
DEE WHY,Northern Beaches (A),937,22151.0,30405.0,5591.0,8579.0
DENHAM COURT,Campbelltown (C) (NSW),277,1345.0,5531.0,211.0,1541.0
DENHAM COURT,Liverpool (C),278,715.0,1702.0,12.0,24.0
DENISTONE,Ryde (C),340,5640.0,9389.0,559.0,978.0
DENISTONE EAST,Ryde (C),1051,1614.0,2490.0,246.0,438.0
DHARRUK,Blacktown (C),141,2831.0,3340.0,233.0,347.0
DOONSIDE,Blacktown (C),531,13894.0,18170.0,1472.0,2179.0
DOUBLE BAY,Woollahra (A),592,5272.0,7282.0,5014.0,6797.0
DOUGLAS PARK,Wollondilly (A),255,1408.0,3035.0,632.0,2575.0
DOVER HEIGHTS,Waverley (A),13,5064.0,6734.0,791.0,1239.0
DRUMMOYNE,Canada Bay (A),607,12612.0,15897.0,4228.0,6898.0
DULWICH HILL,Inner West (A),1217,14956.0,24499.0,1944.0,3344.0
DUNDAS,Parramatta (C),401,3623.0,4900.0,95.0,179.0
DUNDAS VALLEY,Parramatta (C),26,4855.0,6571.0,511.0,827.0
DURAL,Hornsby (A),876,5004.0,5832.0,3464.0,5010.0
DURAL,The Hills Shire (A),877,1813.0,2876.0,1584.0,2649.0
EAGLE VALE,Campbelltown (C) (NSW),655,6330.0,11290.0,866.0,1078.0
EARLWOOD,Canterbury-Bankstown (A),407,18672.0,24317.0,2226.0,3693.0
EAST HILLS,Canterbury-Bankstown (A),567,2255.0,3630.0,353.0,518.0
EAST KILLARA,Ku-ring-gai (A),59,3091.0,3679.0,315.0,494.0
EAST KURRAJONG,Hawkesbury (C),56,1886.0,1976.0,557.0,734.0
EAST LINDFIELD,Ku-ring-gai (A),195,4240.0,5042.0,540.0,854.0
EAST RYDE,Ryde (C),94,2185.0,3147.0,487.0,874.0
EASTERN CREEK,Blacktown (C),972,9.0,9.0,9141.0,23388.0
