"MB_ID","JobsT10","JobsT15","JobsT20","JobsT25","JobsT30","JobsT35","JobsT40","JobsT45","JobsT5_","JobsT50","JobsT55","JobsT60"
10019428,0,7,39,89,156,641,1252,1741,0,2755,4246,6154
10019429,0,0,17,64,125,204,1245,1597,0,2637,3446,5214
10019430,0,1,20,64,128,259,1235,1644,0,2700,3738,5531
10019431,22,64,74,102,190,411,650,858,0,1034,1292,1404
10019432,0,3,23,66,127,260,1223,1606,0,2742,3765,5964
10019433,0,2,13,44,122,250,406,669,0,1797,2268,3392
10019434,0,4,21,63,137,264,406,618,0,1256,2007,2669
10019435,0,6,35,87,170,286,445,616,0,808,1971,2548
10019436,0,3,33,88,153,640,1256,1695,0,2728,4000,5790
10019437,2,15,69,134,225,320,446,594,0,1145,1876,3138
10019438,0,6,36,101,230,343,488,713,0,969,1226,1406
10019439,0,0,7,44,150,402,1505,2416,0,9892,15883,35202
10019440,0,0,6,36,147,389,1786,3972,0,11127,18105,38505
10019441,0,2,47,130,236,469,1856,3218,0,11246,18432,37461
10019442,0,0,26,82,216,436,1189,2351,0,7243,13392,33838
10019443,0,8,52,109,192,292,414,570,0,1625,1860,3283
10019444,0,17,70,135,226,322,432,588,0,1600,1842,3154
10019445,6,46,84,130,241,537,1730,2722,0,9402,15560,35297
10019446,2,38,74,110,208,456,1095,2346,0,6400,10848,32596
10019447,0,0,12,56,133,226,755,924,0,1410,2548,4359
10019448,0,2,36,91,169,266,419,1426,0,1610,2888,3623
10019449,0,4,15,51,126,256,412,644,0,1279,2034,2632
10019450,0,3,15,45,123,257,418,660,0,900,2056,3140
10019451,0,3,31,87,165,267,388,925,0,1629,2807,3517
10019452,0,0,8,49,126,225,370,1419,0,1907,3015,3837
10019453,0,0,8,41,111,220,357,939,0,1904,3028,3693
10019454,2,40,98,228,414,1139,2793,9847,0,16855,35596,42924
10019455,0,0,0,16,69,140,251,810,0,1796,2895,3582
10019456,2,38,104,218,422,1171,2818,9125,0,16905,35418,42720
10019457,6,24,90,182,349,1094,2801,9920,0,17030,35761,42895
10019458,0,0,2,29,92,176,327,1357,0,1797,3092,3913
10019459,0,0,1,18,72,142,245,833,0,1860,2904,4094
10019460,0,0,0,15,67,142,264,491,0,1604,2929,3674
10019461,0,0,6,59,204,879,2570,9031,0,16721,35848,43674
10019462,0,0,8,35,106,225,389,628,0,1784,2059,3367
10019463,0,0,5,23,94,263,629,1942,0,6407,11515,34641
10019464,0,0,4,16,82,299,1373,2317,0,9495,17798,36232
10019465,0,4,28,96,269,985,2712,9902,0,17205,35829,42844
10019466,0,2,24,92,257,1084,2651,9860,0,17005,36099,43052
10019467,0,10,54,136,334,1066,2799,9870,0,16967,36139,43366
10019468,0,0,7,42,111,216,359,1402,0,2165,3372,4243
10019469,0,0,6,27,123,317,832,2127,0,6676,11591,34139
10019470,0,0,9,41,99,172,714,1677,0,2605,3341,5071
10019471,0,4,54,124,305,1124,2742,9887,0,16947,35914,43224
10019472,2,12,58,110,175,390,973,2296,0,6874,10427,32322
10019473,0,0,5,27,123,330,1067,2274,0,8060,13898,34983
10019474,0,0,5,72,229,946,2651,9815,0,17156,35582,44072
10019475,0,0,8,46,115,207,745,1382,0,1946,3160,4602
10019476,0,0,2,36,151,508,1875,6397,0,11673,32370,41127
10019477,0,2,16,89,257,978,2678,9789,0,17019,35594,42869
10019478,0,6,38,86,289,1001,2740,9825,0,17023,35666,43456
10019479,0,4,36,111,285,1025,2721,9879,0,16782,35628,43180
10019480,0,2,20,102,267,998,2686,9801,0,16785,35559,42816
10019481,4,26,90,166,349,1150,2770,9907,0,17064,36293,43185
10019482,0,0,0,24,88,175,309,1361,0,1596,2314,3817
10019483,0,0,6,27,112,293,570,2166,0,7024,11616,33873
10019484,0,2,30,103,271,960,2654,9724,0,17099,35485,43057
10019485,12,52,118,257,484,1212,2842,9113,0,16706,35431,43208
10019486,0,0,2,14,71,263,1477,2145,0,10086,16960,35703
10019487,0,0,2,13,68,246,962,2052,0,7308,13613,35780
10019488,0,0,2,18,78,298,1556,3335,0,10670,19155,37909
10019489,0,0,0,4,42,203,940,1992,0,8427,13778,35342
10019490,0,0,0,8,45,228,1285,2107,0,7857,17100,37015
10019491,0,0,2,17,48,114,1070,1450,0,2424,3426,5131
10019492,0,0,6,51,192,825,2488,9705,0,16938,35555,43939
10019493,0,0,10,56,210,859,2530,9735,0,16954,36052,44004
10019494,0,14,56,130,338,1161,2790,9921,0,16755,35863,43293
10019495,0,6,48,124,310,996,2725,9810,0,16938,35594,42921
10019496,0,0,2,18,47,113,1063,2052,0,2486,3858,5511
10019497,0,0,0,3,42,107,220,404,0,1570,2157,3445
10019498,0,12,54,132,363,1083,2817,9844,0,16837,35564,43218
10019499,0,0,0,8,39,94,293,972,0,1754,3113,3968
10019500,0,0,2,16,45,91,226,1280,0,1812,3040,4350
10019501,0,0,0,27,168,829,2463,9683,0,17129,35796,43762
10019502,0,0,2,38,182,921,2454,9663,0,17135,36151,44126
10019503,0,0,2,38,186,821,2484,9627,0,16733,35596,44039
