"MB_ID","JobsA10","JobsA15","JobsA20","JobsA25","JobsA30","JobsA35","JobsA40","JobsA45","JobsA5_","JobsA50","JobsA55","JobsA60"
10019553,2661,27995,131154,266482,438850,703312,1039211,1578217,522,1971207,2374818,3395060
10019554,9802,52296,182518,328462,556102,826770,1382880,1793054,416,2166233,2938976,3869697
10019555,2735,25695,132448,270881,437033,695179,1072950,1595733,657,1976504,2391155,3482976
10019556,2748,25852,132133,270913,434731,690305,1059661,1589135,639,1972768,2382771,3433644
10019557,18731,73040,225099,359851,639245,997288,1552893,1934554,119,2344784,3454145,3954905
10019558,20260,81861,233893,372197,654530,1024434,1582767,1960887,343,2390275,3544402,3962864
10019559,5914,34032,146413,286750,462658,763312,1292773,1740890,379,2083246,2742949,3805692
10019560,6352,35047,149750,301807,469892,775638,1317855,1753237,335,2104070,2779456,3822674
10019561,9373,47854,179029,318044,527658,841209,1399945,1814130,172,2173504,3014187,3881868
10019562,5566,33119,143709,284408,454609,757303,1264016,1725766,416,2061331,2711568,3788040
10019563,18171,72378,222498,358277,629027,984609,1549800,1928994,85,2337784,3414266,3948861
10019564,16028,65588,213659,347592,612604,944667,1523379,1906922,118,2305683,3351361,3933101
10019565,5609,32815,147313,282860,449242,754972,1258171,1724363,554,2060891,2706500,3782925
10019566,19488,75606,230004,365121,646199,1005641,1565424,1944074,370,2358338,3487560,3958193
10019567,18619,72956,225093,359851,639245,997288,1552893,1934554,96,2344784,3454145,3954905
10019568,8216,45977,173316,311536,516586,806023,1370970,1785191,209,2154251,2915940,3866429
10019569,8818,46919,175691,313920,521454,817042,1378510,1793024,188,2165477,2963064,3873376
10019570,5211,32093,144620,280459,448097,743321,1239969,1713154,508,2054679,2666190,3767533
10019571,5856,33433,162051,285258,454404,761382,1283600,1740134,414,2082719,2732537,3804205
10019572,14188,54861,207102,338921,599163,919388,1493615,1891560,117,2282699,3295718,3926418
10019573,15033,56386,209845,343727,607751,927257,1507319,1898229,117,2295376,3329264,3930050
10019574,2745,24327,120815,254549,428540,668496,978492,1510390,423,1926576,2314518,3211275
10019575,2739,24876,121345,258202,431153,689701,1002190,1526004,484,1938479,2338307,3273020
10019576,2779,27019,123484,255994,434247,695833,1007690,1533895,431,1958551,2354995,3306039
10019577,2835,29156,125079,266398,435772,702629,1014093,1549411,441,1966160,2367062,3337176
10019578,2679,22831,118628,250165,423715,661659,967153,1497610,369,1919953,2278753,3180473
10019579,3091,36639,140009,282412,449049,728417,1078076,1609210,559,1997573,2413548,3448009
10019580,3006,34845,138227,276891,445686,723734,1055714,1597177,527,1990675,2402565,3421610
10019581,2764,25210,122014,257619,431220,688116,998699,1523610,478,1938186,2333609,3263762
10019582,2839,29240,125266,269093,436367,703420,1014842,1550127,477,1966213,2366804,3337425
10019583,2972,32844,129118,274669,442317,718501,1042758,1579752,545,1982838,2390867,3403847
10019584,2979,32777,128991,273159,441954,718351,1042548,1579372,509,1982815,2390724,3403755
