"MB_CODE16","value"
10020170000,1521553
10020181000,1046182
10020182000,1019257
10020190000,998540
10020200000,1099018
10020210000,1206591
10020220000,1218828
10020230000,840574
10020240000,931321
10020250000,852616
10020260000,1025327
10020270000,871443
10020280000,1465301
10020290000,1474251
10020300000,1547113
10020310000,1459936
10020320000,843691
10020330000,895854
10020340000,1338662
10020350000,1187353
10020360000,1130511
10020380000,836327
10020390000,919623
10020400000,818620
10020410000,851995
10020420000,1423085
10020431000,753515
10020432000,807660
10020433000,807269
10020440000,790651
10020450000,766538
10020460000,814498
10020470000,790530
10020480000,930361
10020500000,1021079
10020511000,1230834
10020512000,1207457
10020520000,1086900
10020530000,1391228
10020540000,1161819
10020550000,1567119
10020570000,1511733
10020580000,1266980
10020591000,1401505
10020592000,1499856
10020593000,1498517
10020594000,1516533
10020600000,1439466
10020610000,1363881
10020620000,929085
10020630000,874692
10020650000,1571204
10020660000,1309176
10020671000,1422658
10020672000,1445745
10020673000,1413823
10020674000,1422673
10020675000,1446443
10020676000,1431690
10020681000,1466869
10020682000,1484431
10020683000,1490027
10020690000,1510788
10020700000,1279064
10020710000,937546
10020720000,1180170
10020730000,773506
10020740000,872733
10020750000,1133267
10020760000,1085688
10020770000,1002319
10020780000,926320
10020790000,1040424
10020800000,1167469
10020810000,1225706
10020820000,1232820
10020830000,1508035
10020840000,1526171
10020850000,1526633
10020860000,1465648
10020870000,1069843
10020880000,1408239
10020890000,1570183
10020901000,821760
10020902000,741684
10020910000,929179
10020920000,837269
10020930000,1407738
10020940000,930089
10020950000,830898
10020960000,991728
10020970000,1100201
10020980000,1547270
10020990000,1565550
10021000000,1490067
10021010000,1391796
10021020000,1421487
10021030000,1387521
10021040000,1522192
10021050000,1507370
10021060000,1515089
10021070000,1507050
10021090000,1449950
10021100000,1414917
10021110000,1484609
10021120000,1412697
10021130000,1389596
10021140000,767962
10021150000,836327
10021161000,956450
10021170000,868623
10021180000,1121609
10021190000,1058915
10021200000,766719
10021210000,943443
10021220000,1010929
10021230000,888356
10021241000,766115
10021242000,726133
10021243000,735980
10021244000,692303
10021250000,738752
10021270000,785571
10021280000,798359
10021290000,796762
10021300000,880726
10021310000,878460
10021320000,974296
10021330000,1175893
10021340000,1180718
10021350000,1567337
10021360000,872210
10021370000,1516419
10021380000,1499890
10021390000,1294652
10021400000,1361795
10021410000,1287823
10021420000,1153604
10021431000,1529315
10021432000,1518049
10021440000,1422724
10021450000,1418681
10021460000,1341018
10021470000,1400203
10021480000,1565585
10021490000,1418305
10021520000,831409
10021530000,1492837
10021540000,1487109
10021550000,1562665
10021560000,1573071
10021570000,1521909
10021580000,707030
10021591000,1524266
10021592000,1515586
10021593000,1542118
10021594000,1565524
10021601000,1491336
10021602000,1417298
10021621000,982307
10021622000,1025052
10021630000,1500885
10021650000,1517152
10021670000,1532465
10021690000,1504593
10021701000,1531013
10021702000,1524017
10021703000,1522855
10021720000,1451055
10021760000,1233881
10021770000,1418096
10021790000,1105034
10021810000,1481533
10021820000,1518464
10021830000,1516794
10021840000,1472664
10021860000,1043796
10021871000,1384673
10021872000,1414422
10021880000,843501
10021892000,1422616
10021910000,1496466
10021920000,1060794
10021930000,1110331
10021940000,1081148
10021950000,933502
10021960000,846904
10021970000,818119
10021980000,1060996
10021990000,919447
10022000000,1200640
10022010000,1006211
10022020000,1109014
10022030000,842250
10022040000,1017975
10022050000,1067529
10022060000,919485
10022080000,1270644
10022090000,1186963
10022100000,1512100
10022111000,1387763
10022112000,1421396
10022120000,1420388
10022130000,1385158
10022140000,1406203
10022150000,1571265
10022160000,1539381
10022170000,1484609
10022180000,1516399
10022190000,1455655
10022200000,1394269
10022210000,1393275
10022220000,1112901
10022231000,1435502
10022232000,1435502
10022233000,1054618
10022240000,1018504
10022250000,762342
10022260000,1005680
10022280000,1151591
10022290000,1184395
10022300000,840068
10022310000,872200
10022330000,1500165
10022340000,1540332
10022350000,1521660
10022360000,1262971
10022370000,1236287
10022390000,1130150
10022420000,1217735
10022430000,1012499
10022442000,1254619
10022450000,1071813
10022460000,819051
10022470000,838158
10022480000,1588285
10022490000,1520441
10022500000,980702
10022511000,844431
10022512000,871401
10022521000,1524633
10022522000,1524457
10022523000,1573795
10022530000,1328021
10022540000,1300160
10022550000,1403492
10022560000,877443
10022570000,848284
10022580000,1331151
10022590000,1240979
10022600000,1389169
10022620000,843395
10022630000,813719
10022650000,1502443
10022660000,1538530
10022670000,1473706
10022680000,1463485
10022690000,1488195
10022700000,1544009
10022720000,1544401
10022740000,1483599
