Locality,LGA,Split_id,ERP_2016,ERP_2056,EMP_2016,EMP_2056,Area,LGA_fid,2016,2036,2041
DACEYVILLE,Botany Bay (C),930,1261.0,1422.0,411.0,935.0,,,,,
DANGAR ISLAND,Hornsby (A),181,304.0,353.0,39.0,51.0,,,,,
DARLING POINT,Woollahra (A),108,5039.0,5573.0,1005.0,1394.0,,,,,
DARLINGHURST,Sydney (C),11517,12242.0,15906.0,14530.0,22336.0,,,,,
DARLINGTON,Sydney (C),4264,3672.0,4000.0,2165.0,3541.0,,,,,
DAVIDSON,Northern Beaches (A),73,3884.0,4119.0,645.0,1020.0,Davidson,Northern Beaches Council area,2899.0,3404.0,
DAWES POINT,Sydney (C),4236,495.0,588.0,2441.0,3633.0,,,,,
DEAN PARK,Blacktown (C),489,3338.0,3665.0,357.0,558.0,Dean Park,Blacktown City,3312.0,3390.0,
DEE WHY,Northern Beaches (A),6559,22151.0,30405.0,5591.0,8579.0,Dee Why,Northern Beaches Council area,22778.0,28042.0,
DENHAM COURT,Campbelltown (C) (NSW),554,1345.0,5531.0,211.0,1541.0,,,,,
DENHAM COURT,Liverpool (C),278,715.0,1702.0,12.0,24.0,,,,,
DENISTONE,Ryde (C),1020,5640.0,9389.0,559.0,978.0,,,,,
DENISTONE EAST,Ryde (C),1051,1614.0,2490.0,246.0,438.0,,,,,
DHARRUK,Blacktown (C),141,2831.0,3340.0,233.0,347.0,Dharruk,Blacktown City,2851.0,2898.0,
DOONSIDE,Blacktown (C),2124,13894.0,18170.0,1472.0,2179.0,Doonside,Blacktown City,13973.0,16232.0,
DOUBLE BAY,Woollahra (A),2960,5272.0,7282.0,5014.0,6797.0,,,,,
DOUGLAS PARK,Wollondilly (A),255,1408.0,3035.0,632.0,2575.0,,,,,
DOVER HEIGHTS,Waverley (A),26,5064.0,6734.0,791.0,1239.0,,,,,
DRUMMOYNE,Canada Bay (A),3035,12612.0,15897.0,4228.0,6898.0,Drummoyne,City of Canada Bay,12559.0,13655.0,
DULWICH HILL,Inner West (A),8519,14956.0,24499.0,1944.0,3344.0,Dulwich Hill,Inner West Council area,14295.0,16833.0,
DUNDAS,Parramatta (C),802,3623.0,4900.0,95.0,179.0,Dundas,City of Parramatta,4858.0,,5709.0
DUNDAS VALLEY,Parramatta (C),78,4855.0,6571.0,511.0,827.0,Dundas Valley,City of Parramatta,5464.0,,6800.0
DURAL,Hornsby (A),2628,5004.0,5832.0,3464.0,5010.0,Dural,Hornsby Shire,5658.0,6268.0,
DURAL,The Hills Shire (A),877,1813.0,2876.0,1584.0,2649.0,,,,,
EAGLE VALE,Campbelltown (C) (NSW),1310,6330.0,11290.0,866.0,1078.0,Eagle Vale,Campbelltown City,5968.0,6581.0,
EARLWOOD,Canterbury-Bankstown (A),2849,18672.0,24317.0,2226.0,3693.0,Earlwood,City of Canterbury Bankstown,18735.0,19612.0,
EAST HILLS,Canterbury-Bankstown (A),567,2255.0,3630.0,353.0,518.0,,,,,
EAST KILLARA,Ku-ring-gai (A),59,3091.0,3679.0,315.0,494.0,,,,,
EAST KURRAJONG,Hawkesbury (C),56,1886.0,1976.0,557.0,734.0,,,,,
EAST LINDFIELD,Ku-ring-gai (A),195,4240.0,5042.0,540.0,854.0,,,,,
EAST RYDE,Ryde (C),94,2185.0,3147.0,487.0,874.0,,,,,
EASTERN CREEK,Blacktown (C),1944,9.0,9.0,9141.0,23388.0,,,,,
EASTGARDENS,Botany Bay (C),856,0.0,2124.0,1690.0,3154.0,,,,,
EASTLAKES,Botany Bay (C),1881,9774.0,14614.0,1709.0,2713.0,,,,,
EASTWOOD,Parramatta (C),2186,3838.0,5523.0,304.0,477.0,Eastwood,City of Parramatta,4552.0,,5048.0
EASTWOOD,Ryde (C),7658,15109.0,26795.0,5576.0,9639.0,,,,,
EBENEZER,Hawkesbury (C),1035,1702.0,1735.0,332.0,436.0,,,,,
EDENSOR PARK,Fairfield (C),4416,10198.0,14864.0,1172.0,1755.0,Edensor Park,Fairfield City,10242.0,10296.0,
EDGECLIFF,Woollahra (A),952,1569.0,1635.0,1632.0,2314.0,,,,,
EDMONDSON PARK,Liverpool (C),1935,2347.0,35335.0,266.0,6663.0,Edmondson Park,Liverpool City,2360.0,,27560.0
ELANORA HEIGHTS,Northern Beaches (A),371,3538.0,5518.0,731.0,1240.0,Elanora Heights,Northern Beaches Council area,4627.0,4484.0,
ELDERSLIE,Camden (A),996,6151.0,14363.0,837.0,3129.0,Elderslie,Camden Council,6200.0,7267.0,
ELIZABETH BAY,Sydney (C),2310,4263.0,4550.0,1128.0,1694.0,,,,,
ELIZABETH HILLS,Liverpool (C),918,2630.0,13730.0,492.0,960.0,Elizabeth Hills,Liverpool City,2642.0,,2772.0
