tz16_code,tz16_name,lga_code16,lga_name16,gsc_distri,GIC_AreaName,GIC_Precinct_190919,SGS_CoDBC_UrbanType190924,SGS_CoDBC_Precincts190924,ERP_2016,ERP_2056,EMP_2016,EMP_2056,Tz16_Area,PopDensity_2016,PopDensity_2056,EmpDensity_2016,EmpDensity_2056,PopDensity_Diff,EmpDensity_Diff
49.0,Sydney CBD_Radisson Plaza Hotel,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,43.0,65.0,3706.0,5701.0,12977.6741275,3313.382627545099,5008.601646289103,285567.3492484218,439292.8920845258,1695.2190187440042,153725.542836104
50.0,Sydney CBD_25 Bligh St,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,0.0,0.0,5086.0,7997.0,16749.4053322,0.0,0.0,303652.5714869642,477449.7865083077,0.0,173797.2150213435
51.0,Sydney CBD_Wentworth Hotel,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,37.0,56.0,2464.0,3685.0,12746.4833197,2902.7614183447445,4393.368633170424,193308.21985949864,289099.3466648752,1490.6072148256794,95791.12680537658
52.0,Sydney CBD_Chifley Square_Chifley Tower,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,0.0,0.0,4708.0,6908.0,15234.7412754,0.0,0.0,309030.51879208157,453437.30327436264,0.0,144406.78448228107
53.0,Sydney CBD_King St Wharf_Northern End,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,18.0,24.0,3731.0,8526.0,29032.5594531,619.9935637461691,826.6580849948922,128510.88812983096,293670.2846944355,206.66452124872308,165159.39656460454
54.0,Sydney CBD_Westpac Place,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,6.0,8.0,6334.0,9618.0,17119.2049492,350.48356613549316,467.31142151399087,369993.8179837023,561825.1565151955,116.8278553784977,191831.3385314932
55.0,Sydney CBD_83 Clarence St,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,3.0,5.0,2652.0,4080.0,10947.031665,274.046891596344,456.74481932723995,242257.4521711681,372703.7725710278,182.69792773089597,130446.32039985972
56.0,Sydney CBD_Wynyard Station_York St,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,3.0,5.0,2882.0,4493.0,12411.3038514,241.71513613064906,402.85856021774845,232207.6741095102,362008.7022116688,161.1434240870994,129801.02810215857
57.0,Sydney CBD_Wynyard Station_George St,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,43.0,65.0,4662.0,7161.0,30102.6162796,1428.447268523312,2159.2807547445414,154870.25967106232,237886.29976501016,730.8334862212294,83016.04009394784
58.0,Sydney CBD_Hunter Connection,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,3.0,132.0,8278.0,12373.0,21693.9433827,138.28744489083405,6084.647575196698,381581.1562687747,570343.5185447632,5946.360130305864,188762.3622759885
59.0,Sydney CBD_QBE Building,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,0.0,0.0,3036.0,5306.0,10366.0195212,0.0,0.0,292880.01954761357,511864.75089579634,0.0,218984.73134818277
60.0,Sydney CBD_Savings Bank Building,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,13.0,19.0,3537.0,5369.0,10816.1341973,1201.9081644942194,1756.6350096453975,327011.47521661955,496388.0719361126,554.7268451511782,169376.59671949304
61.0,Sydney CBD_Colonial Centre_Goodsell Building,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,0.0,0.0,3489.0,5360.0,9573.43000047,0.0,0.0,364446.1807135698,559882.9259457535,0.0,195436.74523218366
62.0,Sydney CBD_Martin Place Station_Hunter St and Macquarie St,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,89.0,130.0,2871.0,6618.0,14067.4198262,6326.675474221726,9241.211366840724,204088.5987246132,470448.7448134762,2914.5358926189974,266360.146088863
