TZ16_CODE,TZ16_NAME,Tz16_Area,TZprojecti,TZprojec_1,TZprojec_2,TZprojec_3,TZprojec_4,TZprojec_5,TZprojec_6,TZprojec_7,TZprojec_8,TZprojec_9,TZprojec10,TZprojec11,TZprojec12,TZprojec13,TZprojec14,TZprojec15,TZprojec16,TZprojec17,TZprojec18,TZprojec19,TZprojec20,TZprojec21,TZprojec22,TZprojec23,TZprojec24,TZprojec25,TZprojec26,TZprojec27,TZprojec28,TZprojec29,TZprojec30,TZprojec31,TZprojec32,TZprojec33,TZprojec34,TZprojec35,TZprojec36,TZprojec37,TZprojec38,TZprojec39,LOC_PID,NSW_LOCA_2,LGA_CODE16,LGA_NAME16,Split_id
2624,Narwee High School,801523.0153,Narwee High School,Narwee - Beverly Hills,119031370,11370,Hurstville,11903,Sydney - Inner South West,119,Georges River (A),12930,Greater Sydney,1GSYD,South,Residential,80.2927316,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"3,725","3,810","3,869","3,920","4,010","4,326","4,651","4,967","5,284",315,327,353,372,400,423,445,466,488,NSW332,BEVERLY HILLS,12930,Georges River (A),467
3808,Lakeside Shopping Centre,2295880.124,Lakeside Shopping Centre,Chipping Norton - Moorebank,127031523,11523,Liverpool,12703,Sydney - South West,127,Liverpool (C),14900,Greater Sydney,1GSYD,South West,Residential,229.9944702,0,0,0,0,Established,Chipping Norton,Chipping Norton,"3,816","3,881","4,139","4,386","4,634","4,922","5,241","5,616","5,603",370,398,412,430,430,437,464,500,534,NSW922,CHIPPING NORTON,14900,Liverpool (C),470
3809,Chipping Norton Shopping Centre,716612.4006,Chipping Norton Shopping Centre,Chipping Norton - Moorebank,127031523,11523,Liverpool,12703,Sydney - South West,127,Liverpool (C),14900,Greater Sydney,1GSYD,South West,Residential,71.78780139,0,0,0,0,Established,Established,Established_Liverpool (C),"2,078","2,149","2,300","2,429","2,579","2,651","2,720","2,802","2,574",349,370,387,419,423,440,477,522,566,NSW922,CHIPPING NORTON,14900,Liverpool (C),470
3810,Chipping Norton Industrial Estate,2398388.471,Chipping Norton Industrial Estate,Chipping Norton - Moorebank,127031523,11523,Liverpool,12703,Sydney - South West,127,Liverpool (C),14900,Greater Sydney,1GSYD,South West,Industrial,240.2621833,0,0,0,0,Established,Established,Established_Liverpool (C),102,102,105,107,107,107,108,109,101,"4,706","4,877","4,646","4,582","4,609","4,623","4,739","4,947","5,481",NSW922,CHIPPING NORTON,14900,Liverpool (C),470
3811,Chipping Norton Lake,971879.24,Chipping Norton Lake,Chipping Norton - Moorebank,127031523,11523,Liverpool,12703,Sydney - South West,127,Liverpool (C),14900,Greater Sydney,1GSYD,South West,Parkland,97.35930605,0,0,0,0,Established,Established,Established_Liverpool (C),0,0,0,0,0,0,0,0,0,"1,095","1,088",991,842,890,865,866,893,"1,042",NSW922,CHIPPING NORTON,14900,Liverpool (C),470
3812,Moorebank High School,1185460.598,Moorebank High School,Chipping Norton - Moorebank,127031523,11523,Liverpool,12703,Sydney - South West,127,Liverpool (C),14900,Greater Sydney,1GSYD,South West,Residential,118.7550871,0,0,0,0,Established,Established,Established_Liverpool (C),"3,336","3,753","4,203","4,598","4,989","5,290","5,582","5,923","5,904",713,762,817,861,869,900,974,"1,063","1,133",NSW922,CHIPPING NORTON,14900,Liverpool (C),470
4202,Bilpin Reserve,265508786.8,Bilpin Reserve,Bilpin - Colo - St Albans,115031299,11299,Hawkesbury,11503,Sydney - Baulkham Hills and Hawkesbury,115,Hawkesbury (C),13800,Greater Sydney,1GSYD,West,Parkland,26600.9284,0,0,0,0,Rural,Rural,Rural_Hawkesbury (C),"1,089","1,092","1,092","1,097","1,113","1,113","1,114","1,114","1,114",172,182,185,190,197,208,216,225,237,NSW360,BILPIN,13800,Hawkesbury (C),472
3464,Fairfield Heights,1051322.159,Fairfield Heights,Fairfield - West,127021516,11516,Fairfield,12702,Sydney - South West,127,Fairfield (C),12850,Greater Sydney,1GSYD,South West,Residential,105.3200471,0,0,0,0,Established,Fairfield Heights,Fairfield Heights,"5,241","5,339","5,535","5,752","6,037","6,682","7,404","8,181","8,966",856,891,938,"1,016","1,109","1,206","1,274","1,365","1,477",NSW1497,FAIRFIELD HEIGHTS,12850,Fairfield (C),474
3466,Fairfield West_The Boulevarde and Stella St,420215.8027,Fairfield West_The Boulevarde and Stella St,Fairfield - West,127021516,11516,Fairfield,12702,Sydney - South West,127,Fairfield (C),12850,Greater Sydney,1GSYD,South West,Residential,42.09659728,0,0,0,0,Established,Established,Established_Fairfield (C),"2,560","2,606","2,704","2,786","2,888","3,006","3,110","3,223","3,336",84,84,88,97,105,114,119,127,137,NSW1497,FAIRFIELD HEIGHTS,12850,Fairfield (C),474
3209,Blair Athol_Bethlehem Monastery,930521.6948,Blair Athol_Bethlehem Monastery,Campbelltown - Woodbine,123021437,11437,Campbelltown (NSW),12302,Sydney - Outer South West,123,Campbelltown (C) (NSW),11500,Greater Sydney,1GSYD,South West,Other,93.21063354,Remainder,0,0,Macarthur,Established,Campbelltown-Macarthur,Macarthur,"1,164","1,191","1,260","1,317","1,397","1,421","1,431","1,436","1,441",181,185,199,205,217,227,236,253,272,NSW795,CAMPBELLTOWN,11500,Campbelltown (C) (NSW),475
3210,Campbelltown Showgrownd,526056.2161,Campbelltown Showgrownd,Campbelltown - Woodbine,123021437,11437,Campbelltown (NSW),12302,Sydney - Outer South West,123,Campbelltown (C) (NSW),11500,Greater Sydney,1GSYD,South West,Residential,52.69522436,0,0,0,Campbelltown,Established,Campbelltown-Macarthur,Campbelltown,"1,346","1,897","2,613","3,154","3,874","4,110","4,221","4,293","4,365","1,779","1,962","2,125","2,286","2,454","2,639","2,996","3,491","3,732",NSW795,CAMPBELLTOWN,11500,Campbelltown (C) (NSW),475
3213,Campbelltown Station_North,1650115.567,Campbelltown Station_North,Campbelltown - Woodbine,123021437,11437,Campbelltown (NSW),12302,Sydney - Outer South West,123,Campbelltown (C) (NSW),11500,Greater Sydney,1GSYD,South West,Industrial,165.2926181,Remainder,0,0,Campbelltown,Established,Campbelltown-Macarthur,Campbelltown,4,5,5,5,5,5,5,5,5,"2,402","2,635","2,825","3,043","3,291","3,515","3,722","4,005","4,263",NSW795,CAMPBELLTOWN,11500,Campbelltown (C) (NSW),475
3215,Campbelltown Town Centre_Campbelltown Station,673768.7432,Campbelltown Town Centre_Campbelltown Station,Campbelltown - Woodbine,123021437,11437,Campbelltown (NSW),12302,Sydney - Outer South West,123,Campbelltown (C) (NSW),11500,Greater Sydney,1GSYD,South West,Commercial,67.49138165,Remainder,0,0,Campbelltown,Established,Campbelltown-Macarthur,Campbelltown,52,73,100,121,148,157,161,164,167,"6,153","6,787","7,350","7,909","8,488","9,127","10,363","12,075","12,908",NSW795,CAMPBELLTOWN,11500,Campbelltown (C) (NSW),475
3216,Centenary Park,649353.7957,Centenary Park,Campbelltown - Woodbine,123021437,11437,Campbelltown (NSW),12302,Sydney - Outer South West,123,Campbelltown (C) (NSW),11500,Greater Sydney,1GSYD,South West,Residential,65.0458042,0,0,0,Campbelltown,Established,Campbelltown-Macarthur,Campbelltown,"1,795","1,897","2,132","2,327","2,594","2,676","2,710","2,728","2,746",209,225,243,255,268,282,291,311,332,NSW795,CAMPBELLTOWN,11500,Campbelltown (C) (NSW),475
3217,Macarthur Station_North,2774626.625,Macarthur Station_North,Campbelltown - Woodbine,123021437,11437,Campbelltown (NSW),12302,Sydney - Outer South West,123,Campbelltown (C) (NSW),11500,Greater Sydney,1GSYD,South West,Parkland,277.9339549,Remainder,0,0,Macarthur,Established,Campbelltown-Macarthur,Macarthur,470,"1,903","2,518","2,697","2,813","2,862","2,895","2,923","2,952",817,887,970,"1,031","1,086","1,137","1,178","1,244","1,312",NSW795,CAMPBELLTOWN,11500,Campbelltown (C) (NSW),475
3218,Campbelltown_Waminda Av and Broughton St,872375.7954,Campbelltown_Waminda Av and Broughton St,Campbelltown - Woodbine,123021437,11437,Campbelltown (NSW),12302,Sydney - Outer South West,123,Campbelltown (C) (NSW),11500,Greater Sydney,1GSYD,South West,Residential,87.38577031,0,0,0,0,Established,Established,Established_Campbelltown (C) (NSW),"2,835","2,901","2,991","3,059","3,148","3,426","3,765","4,162","4,563",147,154,165,170,178,186,193,207,222,NSW795,CAMPBELLTOWN,11500,Campbelltown (C) (NSW),475
3219,Hoddle Ave Shopping Centre,1202966.922,Hoddle Ave Shopping Centre,Campbelltown - Woodbine,123021437,11437,Campbelltown (NSW),12302,Sydney - Outer South West,123,Campbelltown (C) (NSW),11500,Greater Sydney,1GSYD,South West,Residential,120.5008085,0,0,0,Campbelltown,Established,Campbelltown-Macarthur,Campbelltown,"3,739","3,893","4,124","4,301","4,536","4,794","5,043","5,292","5,543",541,569,625,663,706,749,780,834,894,NSW795,CAMPBELLTOWN,11500,Campbelltown (C) (NSW),475
3220,Macarthur Station_South,308584.6173,Macarthur Station_South,Campbelltown - Woodbine,123021437,11437,Campbelltown (NSW),12302,Sydney - Outer South West,123,Campbelltown (C) (NSW),11500,Greater Sydney,1GSYD,South West,Commercial,30.91080914,Remainder,0,0,Macarthur,Established,Campbelltown-Macarthur,Macarthur,0,0,0,0,0,0,0,0,0,"2,784","2,818","2,988","3,078","3,167","3,250","3,286","3,413","3,595",NSW795,CAMPBELLTOWN,11500,Campbelltown (C) (NSW),475
3221,Campbelltown Hospital,740173.8458,Campbelltown Hospital,Campbelltown - Woodbine,123021437,11437,Campbelltown (NSW),12302,Sydney - Outer South West,123,Campbelltown (C) (NSW),11500,Greater Sydney,1GSYD,South West,Residential,74.14288069,Remainder,0,0,Macarthur,Established,Campbelltown-Macarthur,Macarthur,"1,627","2,138","2,990","3,686","4,630","4,947","5,103","5,207","5,313","4,106","4,191","4,631","4,929","5,248","5,567","5,780","6,144","6,608",NSW795,CAMPBELLTOWN,11500,Campbelltown (C) (NSW),475
3222,Campbelltown_Barber Reserve,380248.2589,Campbelltown_Barber Reserve,Campbelltown - Woodbine,123021437,11437,Campbelltown (NSW),12302,Sydney - Outer South West,123,Campbelltown (C) (NSW),11500,Greater Sydney,1GSYD,South West,Residential,38.08930978,Remainder,0,0,Macarthur,Established,Campbelltown-Macarthur,Macarthur,"1,013","1,302","1,893","2,405","3,114","3,331","3,420","3,467","3,514",79,80,85,87,90,92,93,97,102,NSW795,CAMPBELLTOWN,11500,Campbelltown (C) (NSW),475
3687,Camden Lakeside Golf Course,3521436.219,Camden Lakeside Golf Course,Cobbitty - Leppington,127011506,11506,Bringelly - Green Valley,12701,Sydney - South West,127,Camden (A),11450,Greater Sydney,1GSYD,South West,Parkland,352.752245,0,0,0,0,Greenfield,SWGA,Gledswood Hills/The Crest,17,"1,042","2,231","2,525","2,604","2,648","2,677","2,693","2,710",137,152,197,238,289,319,323,335,384,NSW5087,GLEDSWOOD HILLS,11450,Camden (A),476
3691,Gregory Hills_Thomas Donovan Park,1843824.578,Gregory Hills_Thomas Donovan Park,Cobbitty - Leppington,127011506,11506,Bringelly - Green Valley,12701,Sydney - South West,127,Camden (A),11450,Greater Sydney,1GSYD,South West,Residential,184.7000725,0,0,0,Turner Road,Greenfield,SWGA,Turner Road,"1,519","2,810","4,598","5,817","6,337","6,641","6,846","6,970","7,093",4,8,15,17,22,27,29,31,35,NSW5087,GLEDSWOOD HILLS,11450,Camden (A),476
2036,North Narrabeen,821686.6862,North Narrabeen,Warriewood - Mona Vale,122021423,11423,Pittwater,12202,Sydney - Northern Beaches,122,Northern Beaches (A),15990,Greater Sydney,1GSYD,North,Residential,82.31982358,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"2,271","2,297","2,318","2,352","2,477","2,582","2,679","2,766","2,880",504,525,551,581,618,649,676,700,725,NSW3027,NORTH NARRABEEN,15990,Northern Beaches (A),478
2037,Alleyne Avenue Lookout North Narrabeen,1088131.206,Alleyne Avenue Lookout North Narrabeen,Warriewood - Mona Vale,122021423,11423,Pittwater,12202,Sydney - Northern Beaches,122,Northern Beaches (A),15990,Greater Sydney,1GSYD,North,Residential,109.0130344,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"2,926","2,966","2,985","3,022","3,172","3,291","3,404","3,507","3,671",510,534,571,615,665,705,742,774,808,NSW3027,NORTH NARRABEEN,15990,Northern Beaches (A),478
2552,Roselands_Council Works Depot and Training Centre,591058.2185,Roselands_Council Works Depot and Training Centre,Roselands,119021367,11367,Canterbury,11902,Sydney - Inner South West,119,Canterbury-Bankstown (A),11570,Greater Sydney,1GSYD,South,Residential,59.2099411,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"3,543","4,152","4,247","4,322","4,374","4,409","4,474","4,593","4,807",740,787,860,920,985,"1,028","1,069","1,107","1,153",NSW3440,ROSELANDS,11570,Canterbury-Bankstown (A),479
2553,Roselands_Ludgate St and Albion St,947428.4476,Roselands_Ludgate St and Albion St,Roselands,119021367,11367,Canterbury,11902,Sydney - Inner South West,119,Canterbury-Bankstown (A),11570,Greater Sydney,1GSYD,South,Residential,94.90962257,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"4,278","4,623","4,705","4,746","4,766","4,858","4,988","5,219","5,468",382,399,434,461,494,515,535,555,578,NSW3440,ROSELANDS,11570,Canterbury-Bankstown (A),479
2554,Roselands,764902.4946,Roselands,Roselands,119021367,11367,Canterbury,11902,Sydney - Inner South West,119,Canterbury-Bankstown (A),11570,Greater Sydney,1GSYD,South,Residential,76.62488145,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"2,498","3,059","3,141","3,203","3,244","3,267","3,307","3,379","3,536","1,654","1,681","1,864","2,023","2,172","2,260","2,349","2,434","2,541",NSW3440,ROSELANDS,11570,Canterbury-Bankstown (A),479
2556,Roselands_Karne St and Shorter Av,842055.6794,Roselands_Karne St and Shorter Av,Roselands,119021367,11367,Canterbury,11902,Sydney - Inner South West,119,Canterbury-Bankstown (A),11570,Greater Sydney,1GSYD,South,Residential,84.35356773,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"3,248","3,414","3,466","3,497","3,519","3,588","3,684","3,850","4,032",544,572,641,697,751,786,821,854,893,NSW3440,ROSELANDS,11570,Canterbury-Bankstown (A),479
2356,Padstow_Playford Park,510890.5084,Padstow_Playford Park,Padstow,119011358,11358,Bankstown,11901,Sydney - Inner South West,119,Canterbury-Bankstown (A),11570,Greater Sydney,1GSYD,South,Residential,51.17875568,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"1,933","1,976","2,047","2,109","2,163","2,241","2,335","2,447","2,495",233,247,261,274,285,296,309,322,336,NSW3151,PADSTOW,11570,Canterbury-Bankstown (A),480
2357,Padstow Industrial Area_Southern End,867764.4395,Padstow Industrial Area_Southern End,Padstow,119011358,11358,Bankstown,11901,Sydney - Inner South West,119,Canterbury-Bankstown (A),11570,Greater Sydney,1GSYD,South,Industrial,86.92877452,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,11,11,11,11,11,11,11,11,11,"2,690","2,800","2,896","2,951","3,021","3,080","3,161","3,254","3,376",NSW3151,PADSTOW,11570,Canterbury-Bankstown (A),480
2358,Padstow Station_North,679432.9086,Padstow Station_North,Padstow,119011358,11358,Bankstown,11901,Sydney - Inner South West,119,Canterbury-Bankstown (A),11570,Greater Sydney,1GSYD,South,Residential,68.06244761,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"2,443","2,492","2,566","2,672","2,882","3,107","3,280","3,423","3,713",354,370,391,410,427,444,463,480,501,NSW3151,PADSTOW,11570,Canterbury-Bankstown (A),480
2359,Padstow_Spring St and Baldwin St,280374.1407,Padstow_Spring St and Baldwin St,Padstow,119011358,11358,Bankstown,11901,Sydney - Inner South West,119,Canterbury-Bankstown (A),11570,Greater Sydney,1GSYD,South,Residential,28.08652893,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"1,033","1,069","1,111","1,153","1,224","1,305","1,368","1,416","1,547",54,56,61,64,68,71,74,78,81,NSW3151,PADSTOW,11570,Canterbury-Bankstown (A),480
2360,Padstow Station_South,979861.5409,Padstow Station_South,Padstow,119011358,11358,Bankstown,11901,Sydney - Inner South West,119,Canterbury-Bankstown (A),11570,Greater Sydney,1GSYD,South,Residential,98.15774999,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"3,386","3,508","3,679","3,850","4,094","4,409","4,716","5,060","5,233",753,773,820,859,894,928,965,997,"1,041",NSW3151,PADSTOW,11570,Canterbury-Bankstown (A),480
2361,Padstow Hts Primary School,1013271.489,Padstow Hts Primary School,Padstow,119011358,11358,Bankstown,11901,Sydney - Inner South West,119,Canterbury-Bankstown (A),11570,Greater Sydney,1GSYD,South,Residential,101.5042704,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"3,277","3,389","3,538","3,660","3,763","3,910","4,088","4,296","4,382",233,244,258,270,282,293,306,316,330,NSW3151,PADSTOW,11570,Canterbury-Bankstown (A),480
2362,Padstow_Adelaide Rd and Alma Rd,684755.1974,Padstow_Adelaide Rd and Alma Rd,Padstow,119011358,11358,Bankstown,11901,Sydney - Inner South West,119,Canterbury-Bankstown (A),11570,Greater Sydney,1GSYD,South,Residential,68.59520915,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"2,389","2,466","2,575","2,668","2,748","2,856","2,984","3,129","3,196",201,205,219,233,247,261,275,289,305,NSW3151,PADSTOW,11570,Canterbury-Bankstown (A),480
2315,Padstow Industrial Area_Northern End,803106.6226,Padstow Industrial Area_Northern End,Bankstown - South,119011572,11572,Bankstown,11901,Sydney - Inner South West,119,Canterbury-Bankstown (A),11570,Greater Sydney,1GSYD,South,Industrial,80.45190439,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,18,18,18,18,18,18,18,18,18,"3,633","3,689","3,820","3,849","3,908","3,960","4,045","4,151","4,293",NSW3151,PADSTOW,11570,Canterbury-Bankstown (A),480
1519,Gladesville,552418.3633,Gladesville,Gladesville - Huntleys Point,126021498,11498,Ryde - Hunters Hill,12602,Sydney - Ryde,126,Hunters Hill (A),14100,Greater Sydney,1GSYD,North,Residential,55.3411775,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"2,288","2,202","2,239","2,262","2,339","2,514","2,687","2,852","3,194",878,953,"1,007","1,061","1,117","1,186","1,251","1,306","1,365",NSW1656,GLADESVILLE,14100,Hunters Hill (A),482
1522,Gladesville Hospital,523746.9268,Gladesville Hospital,Gladesville - Huntleys Point,126021498,11498,Ryde - Hunters Hill,12602,Sydney - Ryde,126,Hunters Hill (A),14100,Greater Sydney,1GSYD,North,Residential,52.468738,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,597,590,598,603,607,609,611,613,615,625,690,749,806,869,937,999,"1,053","1,110",NSW1656,GLADESVILLE,14100,Hunters Hill (A),482
1515,Gladesville_Kennedy St,414659.4249,Gladesville_Kennedy St,Gladesville - Huntleys Point,126021498,11498,Ryde - Hunters Hill,12602,Sydney - Ryde,126,Ryde (C),16700,Greater Sydney,1GSYD,North,Residential,41.5407185,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"1,252","1,283","1,318","1,357","1,398","1,532","1,684","1,857","1,858",137,158,171,183,196,209,221,231,241,NSW1656,GLADESVILLE,16700,Ryde (C),483
1516,Gladesville_Nelson St,404729.5641,Gladesville_Nelson St,Gladesville - Huntleys Point,126021498,11498,Ryde - Hunters Hill,12602,Sydney - Ryde,126,Ryde (C),16700,Greater Sydney,1GSYD,North,Residential,40.54592122,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,756,818,899,945,970,"1,014","1,066","1,125","1,125","1,922","2,108","2,191","2,295","2,438","2,568","2,686","2,783","2,891",NSW1656,GLADESVILLE,16700,Ryde (C),483
1517,Enterprise Park,576359.3475,Enterprise Park,Gladesville - Huntleys Point,126021498,11498,Ryde - Hunters Hill,12602,Sydney - Ryde,126,Ryde (C),16700,Greater Sydney,1GSYD,North,Residential,57.7397598,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"2,626","2,761","3,188","3,407","3,508","3,642","3,783","3,937","3,939",759,878,956,"1,004","1,054","1,104","1,152","1,194","1,239",NSW1656,GLADESVILLE,16700,Ryde (C),483
1520,Gladesville_Morrison Rd and Ross St,939046.9108,Gladesville_Morrison Rd and Ross St,Gladesville - Huntleys Point,126021498,11498,Ryde - Hunters Hill,12602,Sydney - Ryde,126,Ryde (C),16700,Greater Sydney,1GSYD,North,Residential,94.07353874,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"4,233","4,751","5,322","5,627","5,784","5,981","6,211","6,477","6,494","1,837","2,105","2,301","2,469","2,650","2,827","2,989","3,130","3,277",NSW1656,GLADESVILLE,16700,Ryde (C),483
2343,Milperra Industrial Area_Eastern End,996815.5347,Milperra Industrial Area_Eastern End,Condell Park,119011356,11356,Bankstown,11901,Sydney - Inner South West,119,Canterbury-Bankstown (A),11570,Greater Sydney,1GSYD,South,Industrial,99.85686252,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,3,3,3,3,3,3,3,3,3,"3,832","3,976","4,014","4,030","4,094","4,152","4,237","4,337","4,476",NSW3383,REVESBY,11570,Canterbury-Bankstown (A),484
2380,Sir Joseph Banks High School,689692.9152,Sir Joseph Banks High School,Revesby,119011360,11360,Bankstown,11901,Sydney - Inner South West,119,Canterbury-Bankstown (A),11570,Greater Sydney,1GSYD,South,Residential,69.09049111,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"2,553","2,642","2,732","2,798","2,852","2,915","2,990","3,075","3,135",415,438,463,485,502,520,541,560,582,NSW3383,REVESBY,11570,Canterbury-Bankstown (A),484
2381,Greenway Shopping Village,1289739.562,Greenway Shopping Village,Revesby,119011360,11360,Bankstown,11901,Sydney - Inner South West,119,Canterbury-Bankstown (A),11570,Greater Sydney,1GSYD,South,Residential,129.2004732,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"4,628","4,876","5,143","5,346","5,518","5,749","6,028","6,357","6,492",748,783,831,871,907,943,983,"1,020","1,065",NSW3383,REVESBY,11570,Canterbury-Bankstown (A),484
2382,Revesby_Wilberforce Rd and English St,431730.4852,Revesby_Wilberforce Rd and English St,Revesby,119011360,11360,Bankstown,11901,Sydney - Inner South West,119,Canterbury-Bankstown (A),11570,Greater Sydney,1GSYD,South,Residential,43.24874987,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"1,709","1,789","1,877","1,947","2,030","2,131","2,230","2,330","2,443",138,144,153,161,169,177,184,190,198,NSW3383,REVESBY,11570,Canterbury-Bankstown (A),484
2383,Revesby Station_North,592185.6836,Revesby Station_North,Revesby,119011360,11360,Bankstown,11901,Sydney - Inner South West,119,Canterbury-Bankstown (A),11570,Greater Sydney,1GSYD,South,Residential,59.32239523,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"1,958","1,990","2,085","2,186","2,292","2,520","2,789","3,109","3,179","1,016","1,030","1,093","1,145","1,190","1,231","1,275","1,312","1,366",NSW3383,REVESBY,11570,Canterbury-Bankstown (A),484
2384,Revesby Station_South,342254.236,Revesby Station_South,Revesby,119011360,11360,Bankstown,11901,Sydney - Inner South West,119,Canterbury-Bankstown (A),11570,Greater Sydney,1GSYD,South,Residential,34.28535839,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"1,056","1,082","1,126","1,174","1,241","1,327","1,418","1,523","1,560",788,798,858,902,941,979,"1,016","1,050","1,097",NSW3383,REVESBY,11570,Canterbury-Bankstown (A),484
2385,Padstow_Montgomery Av and Jamieson St,329150.8013,Padstow_Montgomery Av and Jamieson St,Revesby,119011360,11360,Bankstown,11901,Sydney - Inner South West,119,Canterbury-Bankstown (A),11570,Greater Sydney,1GSYD,South,Residential,32.97270286,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"1,210","1,254","1,316","1,372","1,439","1,521","1,602","1,685","1,765",163,170,182,194,206,217,229,240,254,NSW3383,REVESBY,11570,Canterbury-Bankstown (A),484
2386,Panania_East,340632.9673,Panania_East,Revesby,119011360,11360,Bankstown,11901,Sydney - Inner South West,119,Canterbury-Bankstown (A),11570,Greater Sydney,1GSYD,South,Residential,34.1228639,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"1,248","1,270","1,309","1,344","1,377","1,427","1,486","1,555","1,586",201,222,236,250,261,271,284,297,311,NSW3383,REVESBY,11570,Canterbury-Bankstown (A),484
2001,Careel Shopping Village,1452657.49,Careel Shopping Village,Avalon - Palm Beach,122021420,11420,Pittwater,12202,Sydney - Northern Beaches,122,Northern Beaches (A),15990,Greater Sydney,1GSYD,North,Residential,145.5355882,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"2,746","2,778","2,810","2,861","3,023","3,184","3,328","3,460","3,571",576,615,660,714,776,825,870,910,950,NSW5090,AVALON BEACH,15990,Northern Beaches (A),485
2002,Barrenjoey High School,1947130.401,Barrenjoey High School,Avalon - Palm Beach,122021420,11420,Pittwater,12202,Sydney - Northern Beaches,122,Northern Beaches (A),15990,Greater Sydney,1GSYD,North,Residential,195.0746576,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"4,660","4,722","4,785","4,884","5,203","5,476","5,732","5,962","6,243",889,934,998,"1,072","1,159","1,231","1,297","1,355","1,418",NSW5090,AVALON BEACH,15990,Northern Beaches (A),485
2004,Avalon Beach,1289052.426,Avalon Beach,Avalon - Palm Beach,122021420,11420,Pittwater,12202,Sydney - Northern Beaches,122,Northern Beaches (A),15990,Greater Sydney,1GSYD,North,Residential,129.1443332,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"2,286","2,314","2,347","2,401","2,544","2,687","2,817","2,943","3,037","1,624","1,720","1,812","1,961","2,126","2,254","2,371","2,472","2,576",NSW5090,AVALON BEACH,15990,Northern Beaches (A),485
2541,Punchbowl Boys High School,364546.8007,Punchbowl Boys High School,Punchbowl,119021366,11366,Canterbury,11902,Sydney - Inner South West,119,Canterbury-Bankstown (A),11570,Greater Sydney,1GSYD,South,Residential,36.51903648,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"1,582","1,634","1,747","1,982","2,246","2,594","2,903","3,158","3,332",12,13,15,17,18,19,20,22,23,NSW3300,PUNCHBOWL,11570,Canterbury-Bankstown (A),486
2542,Punchbowl_Scott St and South Tce,487783.7775,Punchbowl_Scott St and South Tce,Punchbowl,119021366,11366,Canterbury,11902,Sydney - Inner South West,119,Canterbury-Bankstown (A),11570,Greater Sydney,1GSYD,South,Residential,48.86439622,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"2,284","2,368","2,531","2,839","3,194","3,756","4,224","4,587","4,839",220,234,257,278,300,315,329,342,357,NSW3300,PUNCHBOWL,11570,Canterbury-Bankstown (A),486
