Area,Data type,Year,Number,Unnamed: 4,LGA
Gymea,Total Population,2033,8918,,Sutherland Shire
Gymea,Total Population,2034,8967,,Sutherland Shire
Gymea,Total Population,2035,9006,,Sutherland Shire
Gymea,Total Population,2036,9048,,Sutherland Shire
Gymea Bay,Total Population,2016,7061,,Sutherland Shire
Gymea Bay,Total Population,2017,7055,,Sutherland Shire
Gymea Bay,Total Population,2018,7042,,Sutherland Shire
Gymea Bay,Total Population,2019,7011,,Sutherland Shire
Gymea Bay,Total Population,2020,6991,,Sutherland Shire
Gymea Bay,Total Population,2021,6969,,Sutherland Shire
Gymea Bay,Total Population,2022,6955,,Sutherland Shire
Gymea Bay,Total Population,2023,6941,,Sutherland Shire
Gymea Bay,Total Population,2024,6930,,Sutherland Shire
Gymea Bay,Total Population,2025,6918,,Sutherland Shire
Gymea Bay,Total Population,2026,6912,,Sutherland Shire
Gymea Bay,Total Population,2027,6902,,Sutherland Shire
Gymea Bay,Total Population,2028,6902,,Sutherland Shire
Gymea Bay,Total Population,2029,6900,,Sutherland Shire
Gymea Bay,Total Population,2030,6902,,Sutherland Shire
Gymea Bay,Total Population,2031,6903,,Sutherland Shire
Gymea Bay,Total Population,2032,6906,,Sutherland Shire
Gymea Bay,Total Population,2033,6914,,Sutherland Shire
Gymea Bay,Total Population,2034,6923,,Sutherland Shire
Gymea Bay,Total Population,2035,6934,,Sutherland Shire
Gymea Bay,Total Population,2036,6945,,Sutherland Shire
Heathcote - Waterfall,Total Population,2016,6702,,Sutherland Shire
Heathcote - Waterfall,Total Population,2017,6686,,Sutherland Shire
Heathcote - Waterfall,Total Population,2018,6932,,Sutherland Shire
Heathcote - Waterfall,Total Population,2019,6935,,Sutherland Shire
Heathcote - Waterfall,Total Population,2020,6946,,Sutherland Shire
Heathcote - Waterfall,Total Population,2021,7011,,Sutherland Shire
Heathcote - Waterfall,Total Population,2022,7027,,Sutherland Shire
Heathcote - Waterfall,Total Population,2023,7039,,Sutherland Shire
Heathcote - Waterfall,Total Population,2024,7047,,Sutherland Shire
Heathcote - Waterfall,Total Population,2025,7059,,Sutherland Shire
Heathcote - Waterfall,Total Population,2026,7093,,Sutherland Shire
Heathcote - Waterfall,Total Population,2027,7101,,Sutherland Shire
Heathcote - Waterfall,Total Population,2028,7110,,Sutherland Shire
Heathcote - Waterfall,Total Population,2029,7118,,Sutherland Shire
Heathcote - Waterfall,Total Population,2030,7134,,Sutherland Shire
Heathcote - Waterfall,Total Population,2031,7197,,Sutherland Shire
Heathcote - Waterfall,Total Population,2032,7207,,Sutherland Shire
Heathcote - Waterfall,Total Population,2033,7220,,Sutherland Shire
