TZ16_CODE,LGA_NAME16,LGA_CODE16,Precinct,Sub-precin,Emp_2016,Emp_2056,LOC_PID,NSW_LOCA_2,LGA_NAME16_2,Split_id,merge_id,Pop_2016,Pop_BuildO,LGA_CODE16_2,TZ16_CODE_2,Precinct_2,Sub-precin_2,Area,layer,path
"4406",Hawkesbury (C),"13800",Established,Established_Hawkesbury (C),"2964","5406",,,Hawkesbury (C),,,"95","120","13800","4406",Established,Established_Hawkesbury (C),,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
"4407",Hawkesbury (C),"13800",NWGA,Vineyard Stage 2,"404","588",,,Hawkesbury (C),,,"702","3555","13800","4407",NWGA,Vineyard Stage 2,,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
"4408",Hawkesbury (C),"13800",NWGA,Vineyard Stage 1,"133","265",,,Hawkesbury (C),,,"330","1748","13800","4408",NWGA,Vineyard Stage 1,,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
"400",Botany Bay (C),"11100",OutWSPP,OutWSPP,"3083","3425",,,Botany Bay (C),,,"7","170","11100","400",OutWSPP,OutWSPP,,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
"401",Botany Bay (C),"11100",OutWSPP,OutWSPP,"3166","3877",,,Botany Bay (C),,,"14","22","11100","401",OutWSPP,OutWSPP,,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
"402",Botany Bay (C),"11100",OutWSPP,OutWSPP,"707","1215",,,Botany Bay (C),,,"0","0","11100","402",OutWSPP,OutWSPP,,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
"405",Botany Bay (C),"11100",OutWSPP,OutWSPP,"2929","4379",,,Botany Bay (C),,,"2497","4521","11100","405",OutWSPP,OutWSPP,,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
"406",Botany Bay (C),"11100",OutWSPP,OutWSPP,"322","500",,,Botany Bay (C),,,"2947","4390","11100","406",OutWSPP,OutWSPP,,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
"407",Botany Bay (C),"11100",OutWSPP,OutWSPP,"2607","3269",,,Botany Bay (C),,,"781","1152","11100","407",OutWSPP,OutWSPP,,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
"408",Botany Bay (C),"11100",OutWSPP,OutWSPP,"2948","4012",,,Botany Bay (C),,,"5056","12257","11100","408",OutWSPP,OutWSPP,,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
