MB_ID,lon,lat,T15,T30,pop,NSW_LOCA_2,W15_value
"10027811",150.7565232000,-33.8894184000,"6567","47223","0",BADGERYS CREEK,"6563"
"10027812",150.7573255000,-33.8895154000,"10607","57211","0",BADGERYS CREEK,"5388"
"10027813",150.7522791000,-33.8902713000,"5595","38293","0",BADGERYS CREEK,"5595"
"10027814",150.7525118000,-33.8889332000,"5123","39767","0",BADGERYS CREEK,"5123"
"10027815",150.7639763000,-33.8889533000,"1833","37330","0",BADGERYS CREEK,"1833"
"10027816",150.7581277000,-33.8896124000,"11799","62614","0",BADGERYS CREEK,"6455"
"10027817",150.7583604000,-33.8882743000,"11697","65316","0",BADGERYS CREEK,"4920"
"10027818",150.7589300000,-33.8897094000,"9605","55704","0",BADGERYS CREEK,"4446"
"10027819",150.7583363000,-33.8978354000,"21704","98309","0",BADGERYS CREEK,"12546"
"10027820",150.7605108000,-33.8994646000,"17487","89417","0",BADGERYS CREEK,"9716"
"10027821",150.7597084000,-33.8993676000,"19828","97594","0",BADGERYS CREEK,"11009"
"10027822",150.7599410000,-33.8980294000,"21288","99075","0",BADGERYS CREEK,"11135"
"10027823",150.7594757000,-33.9007057000,"16353","82777","0",BADGERYS CREEK,"10287"
"10027824",150.7578709000,-33.9005117000,"21041","85334","0",BADGERYS CREEK,"14464"
"10027825",150.7601737000,-33.8966912000,"16785","81315","0",BADGERYS CREEK,"9952"
"10027826",150.7591387000,-33.8979324000,"22172","101734","0",BADGERYS CREEK,"12070"
"10027827",150.7548145000,-33.8851129000,"10370","67027","0",BADGERYS CREEK,"4420"
"10027828",150.7561863000,-33.8866451000,"6585","56860","0",BADGERYS CREEK,"5955"
"10027829",150.7564190000,-33.8853069000,"10815","70039","0",BADGERYS CREEK,"4078"
"10027830",150.7609760000,-33.8967882000,"14936","79425","0",BADGERYS CREEK,"9012"
"10027831",150.7607434000,-33.8981264000,"18382","96573","0",BADGERYS CREEK,"9721"
"10027832",150.7556167000,-33.8852099000,"10179","67131","0",BADGERYS CREEK,"4423"
"10027833",150.7617784000,-33.8968850000,"7371","59928","0",BADGERYS CREEK,"7241"
"10027834",150.7625807000,-33.8969822000,"4786","57988","0",BADGERYS CREEK,"4760"
"10027835",150.7604013000,-33.8871301000,"15788","101020","0",BADGERYS CREEK,"1746"
"10027836",150.7601704000,-33.8885231000,"9827","63333","0",BADGERYS CREEK,"4337"
"10027837",150.7585930000,-33.8869361000,"13858","90813","0",BADGERYS CREEK,"3156"
"10027838",150.7588257000,-33.8855980000,"10422","88309","0",BADGERYS CREEK,"4442"
"10027839",150.7580234000,-33.8855010000,"13608","88739","0",BADGERYS CREEK,"4554"
"10027840",150.7596279000,-33.8856950000,"13054","94926","0",BADGERYS CREEK,"1505"
"10027841",150.7551513000,-33.8878862000,"7139","43800","0",BADGERYS CREEK,"7139"
"10027842",150.7545818000,-33.8864510000,"11920","67525","0",BADGERYS CREEK,"5719"
"10027843",150.7593953000,-33.8870331000,"13857","98980","0",BADGERYS CREEK,"1621"
"10027844",150.7553840000,-33.8865480000,"12327","71287","0",BADGERYS CREEK,"5371"
"10027845",150.7581036000,-33.8991735000,"24306","102432","0",BADGERYS CREEK,"13779"
"10027846",150.7602782000,-33.9008020000,"13789","81597","0",BADGERYS CREEK,"7932"
"10027847",150.7589060000,-33.8992705000,"22167","101998","0",BADGERYS CREEK,"11839"
"10027848",150.7586733000,-33.9006087000,"18927","84125","0",BADGERYS CREEK,"12211"
"10027849",150.7575581000,-33.8881773000,"10304","61599","0",BADGERYS CREEK,"4797"
"10027850",150.7606413000,-33.8858310000,"13953","97293","0",BADGERYS CREEK,"1394"
"10027851",150.7577908000,-33.8868391000,"11812","89926","0",BADGERYS CREEK,"5855"
"10027852",150.7635229000,-33.8868490000,"416","27709","0",BADGERYS CREEK,"416"
"10027853",150.7638717000,-33.8848418000,"232","62535","0",BADGERYS CREEK,"70"
"10027854",150.7666776000,-33.8822139000,"41","33765","0",BADGERYS CREEK,"41"
"10027855",150.7564832000,-33.8825821000,"2899","43079","0",BADGERYS CREEK,"2894"
"10027856",150.7592910000,-33.8829217000,"6009","64088","0",BADGERYS CREEK,"81"
"10027857",150.7558494000,-33.8838717000,"3135","60884","0",BADGERYS CREEK,"3131"
"10027858",150.7635346000,-33.8820685000,"55","45215","0",BADGERYS CREEK,"55"
"10027859",150.7643368000,-33.8821654000,"52","41069","0",BADGERYS CREEK,"52"
"10027860",150.7580876000,-33.8827761000,"75","40561","0",BADGERYS CREEK,"71"
"10027861",150.7608883000,-33.8783351000,"66","37562","0",BADGERYS CREEK,"66"
"10027862",150.7608550000,-33.8762794000,"73","15118","0",BADGERYS CREEK,"73"
"10027863",150.7580475000,-33.8759399000,"59","10911","0",BADGERYS CREEK,"59"
"10027864",150.7588496000,-33.8760369000,"59","10524","0",BADGERYS CREEK,"59"
"10027865",150.7596518000,-33.8761339000,"69","15192","0",BADGERYS CREEK,"69"
"10027866",150.7645694000,-33.8808273000,"66","45648","0",BADGERYS CREEK,"50"
